CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LIH100,C2-1222,2015-06-19,2015-05-04,46
LIH100,C2-1222,2015-08-03,2015-06-19,45
LIH100,C2-1222,2015-09-01,2015-08-03,29
LIH100,C2-1222,2015-10-05,2015-09-01,34
LIH100,C2-1222,2015-11-02,2015-10-05,28
LIH100,C2-1222,2015-12-01,2015-11-02,29
LIH100,C2-1222,2016-01-04,2015-12-01,34
LIH100,C2-1222,2016-02-02,2016-01-04,29
LIH100,C2-1222,2016-03-01,2016-02-02,28
LIH100,C2-1222,2016-04-04,2016-03-01,34
LIH100,C2-1222,2016-05-02,2016-04-04,28
LIH100,C2-1222,2016-06-02,2016-05-02,31
LIH100,C2-1222,2016-07-05,2016-06-02,33
LIH100,C2-1222,2016-08-01,2016-07-05,27
LIH100,C2-1222,2016-09-01,2016-08-01,31
LIH100,C2-1222,2016-10-13,2016-09-01,42
LIH100,C2-1222,2016-11-01,2016-10-13,19
LIH100,C2-1222,2016-12-01,2016-11-01,30
LIH100,C2-1222,2017-01-03,2016-12-01,33
LIH100,C2-1222,2017-02-02,2017-01-03,30
LIH100,C2-1222,2017-03-02,2017-02-02,28
LIH100,C2-1222,2017-04-03,2017-03-02,32
LIH100,C2-1222,2017-05-01,2017-04-03,28
LIH100,C2-1222,2017-06-01,2017-05-01,31
LIH100,C2-1222,2017-07-03,2017-06-01,32
LIH100,C2-1222,2017-08-01,2017-07-03,29
LIH100,C2-1222,2017-09-01,2017-08-01,31
LIH100,C2-1222,2017-10-03,2017-09-01,32
