CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LIN171,02-0235,2016-04-22,2016-04-05,17
LIN171,02-0235,2016-06-07,2016-04-22,46
LIN171,02-0235,2016-06-21,2016-06-07,14
LIN171,02-0235,2016-07-12,2016-06-21,21
LIN171,02-0235,2016-07-18,2016-07-12,6
LIN171,02-0235,2016-09-09,2016-07-18,53
LIN171,02-0235,2016-09-26,2016-09-09,17
LIN171,02-0235,2016-10-04,2016-09-26,8
LIN171,02-0235,2016-10-18,2016-10-04,14
LIN171,02-0235,2016-11-04,2016-10-18,17
LIN171,02-0235,2016-12-02,2016-11-04,28
LIN171,02-0235,2017-01-03,2016-12-02,32
LIN171,02-0235,2017-01-12,2017-01-03,9
LIN171,02-0235,2017-01-24,2017-01-12,12
LIN171,02-0235,2017-02-01,2017-01-24,8
LIN171,02-0235,2017-02-14,2017-02-01,13
LIN171,02-0235,2017-03-02,2017-02-14,16
LIN171,02-0235,2017-03-23,2017-03-02,21
LIN171,02-0235,2017-04-11,2017-03-23,19
