CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LOO103,02-3240,2016-05-24,2015-09-15,252
LOO103,02-3240,2016-06-02,2016-05-24,9
LOO103,02-3240,2016-06-03,2016-06-02,1
LOO103,02-3240,2016-06-09,2016-06-03,6
LOO103,02-3240,2016-06-10,2016-06-09,1
LOO103,02-3240,2016-06-14,2016-06-10,4
LOO103,02-3240,2016-06-17,2016-06-14,3
LOO103,02-3240,2016-06-21,2016-06-17,4
LOO103,02-3240,2016-06-22,2016-06-21,1
LOO103,02-3240,2016-07-13,2016-06-22,21
LOO103,02-3240,2016-07-19,2016-07-13,6
LOO103,02-3240,2016-07-20,2016-07-19,1
LOO103,02-3240,2016-07-21,2016-07-20,1
LOO103,02-3240,2016-07-25,2016-07-21,4
LOO103,02-3240,2016-07-27,2016-07-25,2
LOO103,02-3240,2016-08-05,2016-07-27,9
LOO103,02-3240,2016-08-09,2016-08-05,4
LOO103,02-3240,2016-08-11,2016-08-09,2
LOO103,02-3240,2016-08-15,2016-08-11,4
LOO103,02-3240,2016-09-08,2016-08-15,24
LOO103,02-3240,2016-09-14,2016-09-08,6
LOO103,02-3240,2016-09-19,2016-09-14,5
LOO103,02-3240,2016-09-21,2016-09-19,2
LOO103,02-3240,2016-09-27,2016-09-21,6
LOO103,02-3240,2016-09-28,2016-09-27,1
LOO103,02-3240,2016-09-29,2016-09-28,1
LOO103,02-3240,2016-11-18,2016-09-29,50
LOO103,02-3240,2016-11-25,2016-11-18,7
LOO103,02-3240,2016-11-28,2016-11-25,3
LOO103,02-3240,2016-11-29,2016-11-28,1
LOO103,02-3240,2016-12-12,2016-11-29,13
LOO103,02-3240,2016-12-15,2016-12-12,3
LOO103,02-3240,2016-12-19,2016-12-15,4
LOO103,02-3240,2016-12-21,2016-12-19,2
LOO103,02-3240,2016-12-22,2016-12-21,1
LOO103,02-3240,2016-12-27,2016-12-22,5
LOO103,02-3240,2017-01-03,2016-12-27,7
LOO103,02-3240,2017-01-16,2017-01-03,13
LOO103,02-3240,2017-01-17,2017-01-16,1
LOO103,02-3240,2017-01-20,2017-01-17,3
LOO103,02-3240,2017-02-21,2017-01-20,32
LOO103,02-3240,2017-03-06,2017-02-21,13
LOO103,02-3240,2017-04-07,2017-03-06,32
LOO103,02-3240,2017-05-11,2017-04-07,34
LOO103,02-3240,2017-05-15,2017-05-11,4
LOO103,02-3240,2017-05-17,2017-05-15,2
LOO103,02-3240,2017-05-18,2017-05-17,1
LOO103,02-3240,2017-05-19,2017-05-18,1
LOO103,02-3240,2017-05-25,2017-05-19,6
LOO103,02-3240,2017-06-02,2017-05-25,8
LOO103,02-3240,2017-06-06,2017-06-02,4
