CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LYO108,10-4784,2015-06-23,2015-05-02,52
LYO108,10-4784,2015-06-30,2015-06-23,7
LYO108,10-4784,2015-07-13,2015-06-30,13
LYO108,10-4784,2015-08-07,2015-07-13,25
LYO108,10-4784,2015-08-25,2015-08-07,18
LYO108,10-4784,2015-09-04,2015-08-25,10
LYO108,10-4784,2015-09-21,2015-09-04,17
LYO108,10-4784,2015-09-23,2015-09-21,2
LYO108,10-4784,2015-10-12,2015-09-23,19
LYO108,10-4784,2015-10-16,2015-10-12,4
LYO108,10-4784,2015-11-23,2015-10-16,38
LYO108,10-4784,2015-11-24,2015-11-23,1
LYO108,10-4784,2015-12-22,2015-11-24,28
LYO108,10-4784,2015-12-29,2015-12-22,7
LYO108,10-4784,2016-01-16,2015-12-29,18
LYO108,10-4784,2016-01-29,2016-01-16,13
LYO108,10-4784,2016-02-02,2016-01-29,4
LYO108,10-4784,2016-03-14,2016-02-02,41
LYO108,10-4784,2016-03-30,2016-03-14,16
LYO108,10-4784,2016-04-08,2016-03-30,9
LYO108,10-4784,2016-04-28,2016-04-08,20
LYO108,10-4784,2016-05-12,2016-04-28,14
LYO108,10-4784,2016-05-25,2016-05-12,13
LYO108,10-4784,2016-06-30,2016-05-25,36
LYO108,10-4784,2016-07-11,2016-06-30,11
LYO108,10-4784,2016-07-20,2016-07-11,9
