CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MCP146,SPC2072,2017-08-14,2017-07-25,20
MCP146,SPC2072,2017-08-18,2017-08-14,4
MCP146,SPC2072,2017-08-21,2017-08-18,3
MCP146,SPC2072,2017-08-24,2017-08-21,3
MCP146,SPC2072,2017-08-29,2017-08-24,5
MCP146,SPC2072,2017-08-31,2017-08-29,2
MCP146,SPC2072,2017-09-07,2017-08-31,7
MCP146,SPC2072,2017-09-18,2017-09-07,11
MCP146,SPC2072,2017-09-21,2017-09-18,3
MCP146,SPC2072,2017-09-28,2017-09-21,7
MCP146,SPC2072,2017-10-05,2017-09-28,7
MCP146,SPC2072,2017-10-11,2017-10-05,6
MCP146,SPC2072,2017-10-16,2017-10-11,5
MCP146,SPC2072,2017-10-19,2017-10-16,3
MCP146,SPC2072,2017-10-25,2017-10-19,6
MCP146,SPC2072,2017-11-07,2017-10-25,13
MCP146,SPC2072,2017-11-15,2017-11-07,8
MCP146,SPC2072,2017-11-20,2017-11-15,5
MCP146,SPC2072,2017-11-28,2017-11-20,8
