CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NEV101,02-8660,2015-09-23,2015-09-17,6
NEV101,02-8660,2015-10-06,2015-09-23,13
NEV101,02-8660,2015-10-07,2015-10-06,1
NEV101,02-8660,2015-10-14,2015-10-07,7
NEV101,02-8660,2015-10-15,2015-10-14,1
NEV101,02-8660,2015-10-26,2015-10-15,11
NEV101,02-8660,2015-11-02,2015-10-26,7
NEV101,02-8660,2015-11-03,2015-11-02,1
NEV101,02-8660,2015-11-09,2015-11-03,6
NEV101,02-8660,2015-11-16,2015-11-09,7
NEV101,02-8660,2015-11-23,2015-11-16,7
NEV101,02-8660,2015-11-25,2015-11-23,2
NEV101,02-8660,2015-11-30,2015-11-25,5
NEV101,02-8660,2015-12-07,2015-11-30,7
NEV101,02-8660,2015-12-08,2015-12-07,1
NEV101,02-8660,2015-12-28,2015-12-08,20
NEV101,02-8660,2016-01-11,2015-12-28,14
NEV101,02-8660,2016-01-18,2016-01-11,7
NEV101,02-8660,2016-02-04,2016-01-18,17
NEV101,02-8660,2016-02-10,2016-02-04,6
NEV101,02-8660,2016-02-16,2016-02-10,6
NEV101,02-8660,2016-02-19,2016-02-16,3
NEV101,02-8660,2016-03-01,2016-02-19,11
NEV101,02-8660,2016-03-07,2016-03-01,6
NEV101,02-8660,2016-03-08,2016-03-07,1
NEV101,02-8660,2016-03-16,2016-03-08,8
NEV101,02-8660,2016-03-21,2016-03-16,5
NEV101,02-8660,2016-03-29,2016-03-21,8
NEV101,02-8660,2016-04-04,2016-03-29,6
NEV101,02-8660,2016-04-06,2016-04-04,2
NEV101,02-8660,2016-04-15,2016-04-06,9
NEV101,02-8660,2016-04-20,2016-04-15,5
NEV101,02-8660,2016-04-28,2016-04-20,8
NEV101,02-8660,2016-05-16,2016-04-28,18
NEV101,02-8660,2016-05-17,2016-05-16,1
NEV101,02-8660,2016-05-23,2016-05-17,6
NEV101,02-8660,2016-05-25,2016-05-23,2
NEV101,02-8660,2016-06-03,2016-05-25,9
NEV101,02-8660,2016-06-07,2016-06-03,4
NEV101,02-8660,2016-06-10,2016-06-07,3
NEV101,02-8660,2016-06-16,2016-06-10,6
NEV101,02-8660,2016-06-20,2016-06-16,4
NEV101,02-8660,2016-06-21,2016-06-20,1
NEV101,02-8660,2016-07-07,2016-06-21,16
NEV101,02-8660,2016-07-18,2016-07-07,11
NEV101,02-8660,2016-07-21,2016-07-18,3
NEV101,02-8660,2016-11-10,2016-07-21,112
NEV101,02-8660,2016-11-16,2016-11-10,6
NEV101,02-8660,2016-11-21,2016-11-16,5
NEV101,02-8660,2016-11-28,2016-11-21,7
NEV101,02-8660,2016-12-07,2016-11-28,9
NEV101,02-8660,2016-12-27,2016-12-07,20
NEV101,02-8660,2017-01-03,2016-12-27,7
NEV101,02-8660,2017-01-05,2017-01-03,2
NEV101,02-8660,2017-01-17,2017-01-05,12
NEV101,02-8660,2017-01-23,2017-01-17,6
NEV101,02-8660,2017-02-02,2017-01-23,10
NEV101,02-8660,2017-02-06,2017-02-02,4
NEV101,02-8660,2017-02-08,2017-02-06,2
NEV101,02-8660,2017-02-27,2017-02-08,19
NEV101,02-8660,2017-03-15,2017-02-27,16
NEV101,02-8660,2017-03-21,2017-03-15,6
NEV101,02-8660,2017-03-24,2017-03-21,3
NEV101,02-8660,2017-04-10,2017-03-24,17
NEV101,02-8660,2017-04-19,2017-04-10,9
NEV101,02-8660,2017-04-24,2017-04-19,5
NEV101,02-8660,2017-04-27,2017-04-24,3
NEV101,02-8660,2017-05-03,2017-04-27,6
NEV101,02-8660,2017-05-16,2017-05-03,13
NEV101,02-8660,2017-05-19,2017-05-16,3
NEV101,02-8660,2017-05-30,2017-05-19,11
NEV101,02-8660,2017-06-05,2017-05-30,6
NEV101,02-8660,2017-06-16,2017-06-05,11
NEV101,02-8660,2017-06-24,2017-06-16,8
NEV101,02-8660,2017-06-28,2017-06-24,4
NEV101,02-8660,2017-06-30,2017-06-28,2
NEV101,02-8660,2017-07-13,2017-06-30,13
NEV101,02-8660,2017-08-07,2017-07-13,25
NEV101,02-8660,2017-08-23,2017-08-07,16
NEV101,02-8660,2017-09-07,2017-08-23,15
NEV101,02-8660,2017-09-13,2017-09-07,6
NEV101,02-8660,2017-10-02,2017-09-13,19
NEV101,02-8660,2017-10-05,2017-10-02,3
NEV101,02-8660,2017-10-25,2017-10-05,20
NEV101,02-8660,2017-10-31,2017-10-25,6
NEV101,02-8660,2017-11-02,2017-10-31,2
NEV101,02-8660,2017-11-15,2017-11-02,13
NEV101,02-8660,2017-11-16,2017-11-15,1
NEV101,02-8660,2017-11-28,2017-11-16,12
