CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NPL101,01-5343,2016-12-19,2016-12-07,12
NPL101,01-5343,2017-01-11,2016-12-19,23
NPL101,01-5343,2017-01-20,2017-01-11,9
NPL101,01-5343,2017-03-06,2017-01-20,45
NPL101,01-5343,2017-03-27,2017-03-06,21
NPL101,01-5343,2017-04-03,2017-03-27,7
NPL101,01-5343,2017-04-12,2017-04-03,9
NPL101,01-5343,2017-04-24,2017-04-12,12
NPL101,01-5343,2017-05-15,2017-04-24,21
NPL101,01-5343,2017-05-22,2017-05-15,7
NPL101,01-5343,2017-06-05,2017-05-22,14
NPL101,01-5343,2017-06-20,2017-06-05,15
NPL101,01-5343,2017-07-11,2017-06-20,21
NPL101,01-5343,2017-07-17,2017-07-11,6
NPL101,01-5343,2017-08-21,2017-07-17,35
NPL101,01-5343,2017-08-25,2017-08-21,4
NPL101,01-5343,2017-09-05,2017-08-25,11
NPL101,01-5343,2017-10-10,2017-09-05,35
NPL101,01-5343,2017-10-23,2017-10-10,13
NPL101,01-5343,2017-11-02,2017-10-23,10
NPL101,01-5343,2017-11-13,2017-11-02,11
NPL101,01-5343,2017-12-11,2017-11-13,28
