CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NUR103,02-7733,2017-01-16,2017-01-03,13
NUR103,02-7733,2017-01-31,2017-01-16,15
NUR103,02-7733,2017-02-10,2017-01-31,10
NUR103,02-7733,2017-03-01,2017-02-10,19
NUR103,02-7733,2017-04-07,2017-03-01,37
NUR103,02-7733,2017-05-05,2017-04-07,28
NUR103,02-7733,2017-05-30,2017-05-05,25
NUR103,02-7733,2017-06-15,2017-05-30,16
NUR103,02-7733,2017-07-11,2017-06-15,26
NUR103,02-7733,2017-07-13,2017-07-11,2
NUR103,02-7733,2017-08-10,2017-07-13,28
NUR103,02-7733,2017-08-17,2017-08-10,7
NUR103,02-7733,2017-09-07,2017-08-17,21
NUR103,02-7733,2017-10-03,2017-09-07,26
NUR103,02-7733,2017-10-05,2017-10-03,2
NUR103,02-7733,2017-11-02,2017-10-05,28
NUR103,02-7733,2017-11-10,2017-11-02,8
NUR103,02-7733,2017-11-28,2017-11-10,18
NUR103,02-7733,2017-12-08,2017-11-28,10
