CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OUC101,02-3801,2015-07-28,2015-07-07,21
OUC101,02-3801,2015-08-07,2015-07-28,10
OUC101,02-3801,2015-08-11,2015-08-07,4
OUC101,02-3801,2015-08-24,2015-08-11,13
OUC101,02-3801,2015-08-25,2015-08-24,1
OUC101,02-3801,2015-09-17,2015-08-25,23
OUC101,02-3801,2015-10-19,2015-09-17,32
OUC101,02-3801,2015-11-06,2015-10-19,18
OUC101,02-3801,2016-02-08,2015-11-06,94
OUC101,02-3801,2016-06-02,2016-02-08,115
OUC101,02-3801,2016-06-22,2016-06-02,20
OUC101,02-3801,2016-10-14,2016-06-22,114
OUC101,02-3801,2016-11-07,2016-10-14,24
OUC101,02-3801,2017-03-24,2016-11-07,137
OUC101,02-3801,2017-05-03,2017-03-24,40
OUC101,02-3801,2017-05-26,2017-05-03,23
OUC101,02-3801,2017-06-02,2017-05-26,7
OUC101,02-3801,2017-06-28,2017-06-02,26
OUC101,02-3801,2017-07-07,2017-06-28,9
OUC101,02-3801,2017-08-10,2017-07-07,34
OUC101,02-3801,2017-08-14,2017-08-10,4
OUC101,02-3801,2017-08-28,2017-08-14,14
OUC101,02-3801,2017-09-15,2017-08-28,18
OUC101,02-3801,2017-10-04,2017-09-15,19
OUC101,02-3801,2017-10-10,2017-10-04,6
OUC101,02-3801,2017-11-06,2017-10-10,27
OUC101,02-3801,2017-11-07,2017-11-06,1
