CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OXF101,01-4422,2017-07-13,2017-07-06,7
OXF101,01-4422,2017-07-17,2017-07-13,4
OXF101,01-4422,2017-07-18,2017-07-17,1
OXF101,01-4422,2017-07-26,2017-07-18,8
OXF101,01-4422,2017-07-28,2017-07-26,2
OXF101,01-4422,2017-08-07,2017-07-28,10
OXF101,01-4422,2017-08-10,2017-08-07,3
OXF101,01-4422,2017-08-15,2017-08-10,5
OXF101,01-4422,2017-08-21,2017-08-15,6
OXF101,01-4422,2017-08-23,2017-08-21,2
OXF101,01-4422,2017-08-25,2017-08-23,2
OXF101,01-4422,2017-08-28,2017-08-25,3
OXF101,01-4422,2017-08-31,2017-08-28,3
OXF101,01-4422,2017-09-05,2017-08-31,5
OXF101,01-4422,2017-09-11,2017-09-05,6
OXF101,01-4422,2017-09-12,2017-09-11,1
OXF101,01-4422,2017-09-14,2017-09-12,2
OXF101,01-4422,2017-09-15,2017-09-14,1
OXF101,01-4422,2017-09-19,2017-09-15,4
OXF101,01-4422,2017-09-21,2017-09-19,2
OXF101,01-4422,2017-09-25,2017-09-21,4
OXF101,01-4422,2017-09-27,2017-09-25,2
OXF101,01-4422,2017-10-02,2017-09-27,5
OXF101,01-4422,2017-10-04,2017-10-02,2
OXF101,01-4422,2017-10-05,2017-10-04,1
OXF101,01-4422,2017-10-09,2017-10-05,4
OXF101,01-4422,2017-10-11,2017-10-09,2
OXF101,01-4422,2017-10-12,2017-10-11,1
OXF101,01-4422,2017-10-18,2017-10-12,6
OXF101,01-4422,2017-10-23,2017-10-18,5
OXF101,01-4422,2017-10-24,2017-10-23,1
OXF101,01-4422,2017-11-06,2017-10-24,13
OXF101,01-4422,2017-11-13,2017-11-06,7
OXF101,01-4422,2017-12-01,2017-11-13,18
