CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ROD111,C2-5639,2015-10-28,2015-07-29,91
ROD111,C2-5639,2015-11-16,2015-10-28,19
ROD111,C2-5639,2015-11-23,2015-11-16,7
ROD111,C2-5639,2015-12-07,2015-11-23,14
ROD111,C2-5639,2015-12-29,2015-12-07,22
ROD111,C2-5639,2016-01-18,2015-12-29,20
ROD111,C2-5639,2016-02-16,2016-01-18,29
ROD111,C2-5639,2016-02-20,2016-02-16,4
ROD111,C2-5639,2016-03-16,2016-02-20,25
ROD111,C2-5639,2016-03-24,2016-03-16,8
ROD111,C2-5639,2016-04-01,2016-03-24,8
ROD111,C2-5639,2016-04-21,2016-04-01,20
ROD111,C2-5639,2016-05-09,2016-04-21,18
ROD111,C2-5639,2016-06-23,2016-05-09,45
ROD111,C2-5639,2016-08-15,2016-06-23,53
ROD111,C2-5639,2016-11-14,2016-08-15,91
ROD111,C2-5639,2016-11-28,2016-11-14,14
ROD111,C2-5639,2017-02-24,2016-11-28,88
ROD111,C2-5639,2017-05-22,2017-02-24,87
ROD111,C2-5639,2017-08-25,2017-05-22,95
ROD111,C2-5639,2017-10-10,2017-08-25,46
ROD111,C2-5639,2017-10-24,2017-10-10,14
ROD111,C2-5639,2017-11-03,2017-10-24,10
ROD111,C2-5639,2017-12-09,2017-11-03,36
