CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ROS173,02-2646,2016-06-06,2016-05-17,20
ROS173,02-2646,2016-06-21,2016-06-06,15
ROS173,02-2646,2016-06-28,2016-06-21,7
ROS173,02-2646,2016-07-11,2016-06-28,13
ROS173,02-2646,2016-07-15,2016-07-11,4
ROS173,02-2646,2016-08-03,2016-07-15,19
ROS173,02-2646,2016-10-05,2016-08-03,63
ROS173,02-2646,2016-10-11,2016-10-05,6
ROS173,02-2646,2016-10-21,2016-10-11,10
ROS173,02-2646,2016-11-04,2016-10-21,14
ROS173,02-2646,2016-11-11,2016-11-04,7
ROS173,02-2646,2016-11-23,2016-11-11,12
ROS173,02-2646,2016-12-07,2016-11-23,14
ROS173,02-2646,2016-12-13,2016-12-07,6
ROS173,02-2646,2017-01-11,2016-12-13,29
ROS173,02-2646,2017-01-16,2017-01-11,5
ROS173,02-2646,2017-02-10,2017-01-16,25
ROS173,02-2646,2017-02-22,2017-02-10,12
ROS173,02-2646,2017-03-15,2017-02-22,21
ROS173,02-2646,2017-03-27,2017-03-15,12
ROS173,02-2646,2017-03-31,2017-03-27,4
ROS173,02-2646,2017-04-17,2017-03-31,17
ROS173,02-2646,2017-04-18,2017-04-17,1
ROS173,02-2646,2017-05-16,2017-04-18,28
ROS173,02-2646,2017-05-23,2017-05-16,7
ROS173,02-2646,2017-05-26,2017-05-23,3
ROS173,02-2646,2017-06-07,2017-05-26,12
ROS173,02-2646,2017-06-22,2017-06-07,15
ROS173,02-2646,2017-06-26,2017-06-22,4
ROS173,02-2646,2017-06-27,2017-06-26,1
