CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RRS100,06-1467,2016-08-24,2016-07-18,37
RRS100,06-1467,2016-09-26,2016-08-24,33
RRS100,06-1467,2016-10-24,2016-09-26,28
RRS100,06-1467,2016-11-01,2016-10-24,8
RRS100,06-1467,2016-11-18,2016-11-01,17
RRS100,06-1467,2016-12-15,2016-11-18,27
RRS100,06-1467,2017-01-09,2016-12-15,25
RRS100,06-1467,2017-01-13,2017-01-09,4
RRS100,06-1467,2017-03-13,2017-01-13,59
RRS100,06-1467,2017-04-06,2017-03-13,24
RRS100,06-1467,2017-04-26,2017-04-06,20
RRS100,06-1467,2017-04-27,2017-04-26,1
RRS100,06-1467,2017-05-05,2017-04-27,8
RRS100,06-1467,2017-05-12,2017-05-05,7
RRS100,06-1467,2017-05-18,2017-05-12,6
RRS100,06-1467,2017-06-01,2017-05-18,14
RRS100,06-1467,2017-06-20,2017-06-01,19
RRS100,06-1467,2017-06-28,2017-06-20,8
RRS100,06-1467,2017-07-21,2017-06-28,23
RRS100,06-1467,2017-08-18,2017-07-21,28
RRS100,06-1467,2017-09-11,2017-08-18,24
