CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SCH120,03-5645,2016-02-08,2016-01-15,24
SCH120,03-5645,2016-03-03,2016-02-08,24
SCH120,03-5645,2016-03-08,2016-03-03,5
SCH120,03-5645,2016-04-01,2016-03-08,24
SCH120,03-5645,2016-05-02,2016-04-01,31
SCH120,03-5645,2016-06-01,2016-05-02,30
SCH120,03-5645,2016-07-01,2016-06-01,30
SCH120,03-5645,2016-08-01,2016-07-01,31
SCH120,03-5645,2016-09-01,2016-08-01,31
SCH120,03-5645,2016-10-03,2016-09-01,32
SCH120,03-5645,2016-10-05,2016-10-03,2
SCH120,03-5645,2016-10-25,2016-10-05,20
SCH120,03-5645,2016-11-04,2016-10-25,10
SCH120,03-5645,2016-11-22,2016-11-04,18
SCH120,03-5645,2016-12-05,2016-11-22,13
SCH120,03-5645,2017-01-03,2016-12-05,29
SCH120,03-5645,2017-01-04,2017-01-03,1
SCH120,03-5645,2017-02-02,2017-01-04,29
SCH120,03-5645,2017-02-06,2017-02-02,4
SCH120,03-5645,2017-03-01,2017-02-06,23
SCH120,03-5645,2017-03-08,2017-03-01,7
SCH120,03-5645,2017-04-03,2017-03-08,26
SCH120,03-5645,2017-04-18,2017-04-03,15
SCH120,03-5645,2017-05-02,2017-04-18,14
SCH120,03-5645,2017-05-04,2017-05-02,2
SCH120,03-5645,2017-06-05,2017-05-04,32
SCH120,03-5645,2017-06-19,2017-06-05,14
SCH120,03-5645,2017-07-05,2017-06-19,16
SCH120,03-5645,2017-07-24,2017-07-05,19
SCH120,03-5645,2017-08-15,2017-07-24,22
SCH120,03-5645,2017-08-21,2017-08-15,6
SCH120,03-5645,2017-09-05,2017-08-21,15
SCH120,03-5645,2017-09-18,2017-09-05,13
SCH120,03-5645,2017-09-27,2017-09-18,9
SCH120,03-5645,2017-09-29,2017-09-27,2
SCH120,03-5645,2017-10-09,2017-09-29,10
SCH120,03-5645,2017-10-12,2017-10-09,3
SCH120,03-5645,2017-10-18,2017-10-12,6
SCH120,03-5645,2017-10-24,2017-10-18,6
SCH120,03-5645,2017-10-30,2017-10-24,6
SCH120,03-5645,2017-11-07,2017-10-30,8
SCH120,03-5645,2017-11-15,2017-11-07,8
SCH120,03-5645,2017-11-22,2017-11-15,7
SCH120,03-5645,2017-11-27,2017-11-22,5
SCH120,03-5645,2017-11-30,2017-11-27,3
SCH120,03-5645,2017-12-04,2017-11-30,4
SCH120,03-5645,2017-12-06,2017-12-04,2
SCH120,03-5645,2017-12-11,2017-12-06,5
