CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SHE164,02-6693,2015-07-27,2015-07-20,7
SHE164,02-6693,2015-08-13,2015-07-27,17
SHE164,02-6693,2015-10-02,2015-08-13,50
SHE164,02-6693,2015-11-23,2015-10-02,52
SHE164,02-6693,2015-11-30,2015-11-23,7
SHE164,02-6693,2015-12-10,2015-11-30,10
SHE164,02-6693,2015-12-16,2015-12-10,6
SHE164,02-6693,2015-12-22,2015-12-16,6
SHE164,02-6693,2016-01-04,2015-12-22,13
SHE164,02-6693,2016-01-05,2016-01-04,1
SHE164,02-6693,2016-01-06,2016-01-05,1
SHE164,02-6693,2016-02-01,2016-01-06,26
SHE164,02-6693,2016-02-08,2016-02-01,7
SHE164,02-6693,2016-02-25,2016-02-08,17
SHE164,02-6693,2016-03-02,2016-02-25,6
SHE164,02-6693,2016-03-04,2016-03-02,2
SHE164,02-6693,2016-03-08,2016-03-04,4
SHE164,02-6693,2016-03-21,2016-03-08,13
SHE164,02-6693,2016-04-18,2016-03-21,28
SHE164,02-6693,2016-05-02,2016-04-18,14
SHE164,02-6693,2016-05-11,2016-05-02,9
SHE164,02-6693,2016-05-23,2016-05-11,12
SHE164,02-6693,2016-06-01,2016-05-23,9
SHE164,02-6693,2016-06-08,2016-06-01,7
SHE164,02-6693,2016-06-17,2016-06-08,9
SHE164,02-6693,2016-06-20,2016-06-17,3
SHE164,02-6693,2016-06-21,2016-06-20,1
SHE164,02-6693,2016-06-27,2016-06-21,6
SHE164,02-6693,2016-07-05,2016-06-27,8
SHE164,02-6693,2016-07-14,2016-07-05,9
SHE164,02-6693,2016-07-29,2016-07-14,15
SHE164,02-6693,2016-08-01,2016-07-29,3
SHE164,02-6693,2016-08-11,2016-08-01,10
SHE164,02-6693,2016-08-19,2016-08-11,8
SHE164,02-6693,2016-08-24,2016-08-19,5
SHE164,02-6693,2016-08-29,2016-08-24,5
SHE164,02-6693,2016-09-02,2016-08-29,4
SHE164,02-6693,2016-09-07,2016-09-02,5
SHE164,02-6693,2016-09-08,2016-09-07,1
SHE164,02-6693,2016-09-13,2016-09-08,5
SHE164,02-6693,2016-09-27,2016-09-13,14
SHE164,02-6693,2016-09-29,2016-09-27,2
SHE164,02-6693,2016-10-04,2016-09-29,5
SHE164,02-6693,2016-10-10,2016-10-04,6
SHE164,02-6693,2016-10-18,2016-10-10,8
SHE164,02-6693,2016-10-20,2016-10-18,2
SHE164,02-6693,2016-11-01,2016-10-20,12
SHE164,02-6693,2016-11-04,2016-11-01,3
SHE164,02-6693,2016-11-08,2016-11-04,4
SHE164,02-6693,2016-11-14,2016-11-08,6
SHE164,02-6693,2016-11-15,2016-11-14,1
SHE164,02-6693,2016-11-21,2016-11-15,6
SHE164,02-6693,2016-12-02,2016-11-21,11
SHE164,02-6693,2016-12-09,2016-12-02,7
SHE164,02-6693,2016-12-12,2016-12-09,3
SHE164,02-6693,2016-12-20,2016-12-12,8
SHE164,02-6693,2017-01-05,2016-12-20,16
SHE164,02-6693,2017-01-09,2017-01-05,4
SHE164,02-6693,2017-01-11,2017-01-09,2
SHE164,02-6693,2017-01-12,2017-01-11,1
SHE164,02-6693,2017-01-18,2017-01-12,6
SHE164,02-6693,2017-02-01,2017-01-18,14
SHE164,02-6693,2017-07-19,2017-02-01,168
SHE164,02-6693,2017-07-24,2017-07-19,5
SHE164,02-6693,2017-08-03,2017-07-24,10
SHE164,02-6693,2017-08-18,2017-08-03,15
SHE164,02-6693,2017-09-08,2017-08-18,21
SHE164,02-6693,2017-10-19,2017-09-08,41
SHE164,02-6693,2017-11-29,2017-10-19,41
SHE164,02-6693,2017-12-07,2017-11-29,8
