CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SHI127,06-6972,2016-10-14,2016-10-06,8
SHI127,06-6972,2016-10-21,2016-10-14,7
SHI127,06-6972,2016-10-27,2016-10-21,6
SHI127,06-6972,2016-12-23,2016-10-27,57
SHI127,06-6972,2017-01-06,2016-12-23,14
SHI127,06-6972,2017-01-13,2017-01-06,7
SHI127,06-6972,2017-01-23,2017-01-13,10
SHI127,06-6972,2017-02-27,2017-01-23,35
SHI127,06-6972,2017-03-08,2017-02-27,9
SHI127,06-6972,2017-04-11,2017-03-08,34
SHI127,06-6972,2017-05-09,2017-04-11,28
SHI127,06-6972,2017-06-12,2017-05-09,34
SHI127,06-6972,2017-06-26,2017-06-12,14
SHI127,06-6972,2017-07-21,2017-06-26,25
SHI127,06-6972,2017-07-25,2017-07-21,4
SHI127,06-6972,2017-08-15,2017-07-25,21
SHI127,06-6972,2017-08-28,2017-08-15,13
SHI127,06-6972,2017-08-29,2017-08-28,1
SHI127,06-6972,2017-09-05,2017-08-29,7
SHI127,06-6972,2017-09-28,2017-09-05,23
SHI127,06-6972,2017-10-12,2017-09-28,14
SHI127,06-6972,2017-10-20,2017-10-12,8
SHI127,06-6972,2017-11-17,2017-10-20,28
SHI127,06-6972,2017-12-11,2017-11-17,24
