CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SYN101,02-3855,2017-03-27,2017-03-06,21
SYN101,02-3855,2017-04-04,2017-03-27,8
SYN101,02-3855,2017-04-06,2017-04-04,2
SYN101,02-3855,2017-04-24,2017-04-06,18
SYN101,02-3855,2017-05-08,2017-04-24,14
SYN101,02-3855,2017-05-16,2017-05-08,8
SYN101,02-3855,2017-05-22,2017-05-16,6
SYN101,02-3855,2017-06-19,2017-05-22,28
SYN101,02-3855,2017-06-20,2017-06-19,1
SYN101,02-3855,2017-07-11,2017-06-20,21
SYN101,02-3855,2017-07-31,2017-07-11,20
SYN101,02-3855,2017-08-07,2017-07-31,7
SYN101,02-3855,2017-08-14,2017-08-07,7
SYN101,02-3855,2017-08-15,2017-08-14,1
SYN101,02-3855,2017-08-28,2017-08-15,13
SYN101,02-3855,2017-09-15,2017-08-28,18
SYN101,02-3855,2017-09-21,2017-09-15,6
SYN101,02-3855,2017-09-27,2017-09-21,6
SYN101,02-3855,2017-10-09,2017-09-27,12
SYN101,02-3855,2017-10-24,2017-10-09,15
SYN101,02-3855,2017-11-02,2017-10-24,9
SYN101,02-3855,2017-11-16,2017-11-02,14
SYN101,02-3855,2017-11-17,2017-11-16,1
SYN101,02-3855,2017-11-22,2017-11-17,5
