CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TAN112,C2-2816,2015-06-26,2015-05-19,38
TAN112,C2-2816,2015-07-22,2015-06-26,26
TAN112,C2-2816,2015-09-22,2015-07-22,62
TAN112,C2-2816,2015-10-28,2015-09-22,36
TAN112,C2-2816,2015-10-29,2015-10-28,1
TAN112,C2-2816,2015-11-24,2015-10-29,26
TAN112,C2-2816,2015-12-24,2015-11-24,30
TAN112,C2-2816,2016-01-22,2015-12-24,29
TAN112,C2-2816,2016-02-22,2016-01-22,31
TAN112,C2-2816,2016-03-21,2016-02-22,28
TAN112,C2-2816,2016-04-21,2016-03-21,31
TAN112,C2-2816,2016-05-20,2016-04-21,29
TAN112,C2-2816,2016-06-17,2016-05-20,28
TAN112,C2-2816,2016-07-20,2016-06-17,33
TAN112,C2-2816,2016-08-17,2016-07-20,28
TAN112,C2-2816,2016-09-21,2016-08-17,35
TAN112,C2-2816,2016-10-19,2016-09-21,28
TAN112,C2-2816,2016-11-25,2016-10-19,37
TAN112,C2-2816,2017-01-18,2016-11-25,54
TAN112,C2-2816,2017-02-21,2017-01-18,34
TAN112,C2-2816,2017-03-02,2017-02-21,9
TAN112,C2-2816,2017-04-25,2017-03-02,54
TAN112,C2-2816,2017-05-31,2017-04-25,36
TAN112,C2-2816,2017-06-29,2017-05-31,29
TAN112,C2-2816,2017-07-26,2017-06-29,27
TAN112,C2-2816,2017-10-05,2017-07-26,71
