CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TAY102,02-6691,2016-04-05,2016-03-31,5
TAY102,02-6691,2016-04-21,2016-04-05,16
TAY102,02-6691,2016-04-28,2016-04-21,7
TAY102,02-6691,2016-05-03,2016-04-28,5
TAY102,02-6691,2016-05-10,2016-05-03,7
TAY102,02-6691,2016-05-20,2016-05-10,10
TAY102,02-6691,2016-06-06,2016-05-20,17
TAY102,02-6691,2016-06-22,2016-06-06,16
TAY102,02-6691,2016-07-01,2016-06-22,9
TAY102,02-6691,2016-07-07,2016-07-01,6
TAY102,02-6691,2016-07-21,2016-07-07,14
TAY102,02-6691,2016-08-02,2016-07-21,12
TAY102,02-6691,2016-08-24,2016-08-02,22
TAY102,02-6691,2016-09-22,2016-08-24,29
TAY102,02-6691,2016-09-23,2016-09-22,1
TAY102,02-6691,2016-10-01,2016-09-23,8
TAY102,02-6691,2016-10-25,2016-10-01,24
TAY102,02-6691,2016-11-01,2016-10-25,7
TAY102,02-6691,2016-12-02,2016-11-01,31
TAY102,02-6691,2016-12-05,2016-12-02,3
TAY102,02-6691,2016-12-21,2016-12-05,16
TAY102,02-6691,2016-12-29,2016-12-21,8
TAY102,02-6691,2017-01-25,2016-12-29,27
TAY102,02-6691,2017-02-03,2017-01-25,9
TAY102,02-6691,2017-02-21,2017-02-03,18
TAY102,02-6691,2017-03-27,2017-02-21,34
TAY102,02-6691,2017-04-05,2017-03-27,9
TAY102,02-6691,2017-04-28,2017-04-05,23
TAY102,02-6691,2017-05-23,2017-04-28,25
TAY102,02-6691,2017-06-05,2017-05-23,13
TAY102,02-6691,2017-06-23,2017-06-05,18
TAY102,02-6691,2017-07-03,2017-06-23,10
TAY102,02-6691,2017-07-27,2017-07-03,24
TAY102,02-6691,2017-08-02,2017-07-27,6
TAY102,02-6691,2017-10-09,2017-08-02,68
TAY102,02-6691,2017-10-23,2017-10-09,14
