CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TOD107,02-1070,2015-05-12,2015-05-11,1
TOD107,02-1070,2015-05-26,2015-05-12,14
TOD107,02-1070,2015-06-01,2015-05-26,6
TOD107,02-1070,2015-06-08,2015-06-01,7
TOD107,02-1070,2015-06-17,2015-06-08,9
TOD107,02-1070,2015-06-19,2015-06-17,2
TOD107,02-1070,2015-06-26,2015-06-19,7
TOD107,02-1070,2015-07-02,2015-06-26,6
TOD107,02-1070,2015-07-15,2015-07-02,13
TOD107,02-1070,2015-07-17,2015-07-15,2
TOD107,02-1070,2015-07-24,2015-07-17,7
TOD107,02-1070,2015-08-07,2015-07-24,14
TOD107,02-1070,2015-08-12,2015-08-07,5
TOD107,02-1070,2015-08-21,2015-08-12,9
TOD107,02-1070,2015-08-24,2015-08-21,3
TOD107,02-1070,2015-10-26,2015-08-24,63
TOD107,02-1070,2015-11-03,2015-10-26,8
TOD107,02-1070,2015-12-09,2015-11-03,36
TOD107,02-1070,2015-12-15,2015-12-09,6
TOD107,02-1070,2015-12-21,2015-12-15,6
TOD107,02-1070,2016-01-22,2015-12-21,32
TOD107,02-1070,2016-02-01,2016-01-22,10
TOD107,02-1070,2016-02-11,2016-02-01,10
TOD107,02-1070,2016-03-07,2016-02-11,25
TOD107,02-1070,2016-03-22,2016-03-07,15
TOD107,02-1070,2016-03-29,2016-03-22,7
TOD107,02-1070,2016-04-21,2016-03-29,23
TOD107,02-1070,2016-04-29,2016-04-21,8
TOD107,02-1070,2016-05-16,2016-04-29,17
TOD107,02-1070,2016-08-16,2016-05-16,92
TOD107,02-1070,2016-09-19,2016-08-16,34
TOD107,02-1070,2016-12-06,2016-09-19,78
TOD107,02-1070,2016-12-19,2016-12-06,13
TOD107,02-1070,2016-12-27,2016-12-19,8
TOD107,02-1070,2017-01-05,2016-12-27,9
TOD107,02-1070,2017-01-26,2017-01-05,21
TOD107,02-1070,2017-02-08,2017-01-26,13
