CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
VAL216,09-9866,2015-10-26,2015-10-14,12
VAL216,09-9866,2015-11-10,2015-10-26,15
VAL216,09-9866,2015-11-27,2015-11-10,17
VAL216,09-9866,2015-12-08,2015-11-27,11
VAL216,09-9866,2016-01-08,2015-12-08,31
VAL216,09-9866,2016-01-28,2016-01-08,20
VAL216,09-9866,2016-02-29,2016-01-28,32
VAL216,09-9866,2016-03-11,2016-02-29,11
VAL216,09-9866,2016-03-22,2016-03-11,11
VAL216,09-9866,2016-04-26,2016-03-22,35
VAL216,09-9866,2016-05-09,2016-04-26,13
VAL216,09-9866,2016-05-17,2016-05-09,8
VAL216,09-9866,2016-06-10,2016-05-17,24
VAL216,09-9866,2016-06-27,2016-06-10,17
VAL216,09-9866,2016-07-07,2016-06-27,10
VAL216,09-9866,2016-07-20,2016-07-07,13
VAL216,09-9866,2016-08-09,2016-07-20,20
VAL216,09-9866,2016-08-29,2016-08-09,20
VAL216,09-9866,2016-09-01,2016-08-29,3
VAL216,09-9866,2016-10-04,2016-09-01,33
VAL216,09-9866,2016-10-13,2016-10-04,9
VAL216,09-9866,2016-10-14,2016-10-13,1
VAL216,09-9866,2016-10-21,2016-10-14,7
VAL216,09-9866,2016-10-26,2016-10-21,5
VAL216,09-9866,2016-11-02,2016-10-26,7
VAL216,09-9866,2017-04-12,2016-11-02,161
