CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WAV102,01-4422,2015-08-25,2015-08-13,12
WAV102,01-4422,2015-09-15,2015-08-25,21
WAV102,01-4422,2015-11-11,2015-09-15,57
WAV102,01-4422,2015-12-04,2015-11-11,23
WAV102,01-4422,2016-01-06,2015-12-04,33
WAV102,01-4422,2016-01-21,2016-01-06,15
WAV102,01-4422,2016-02-02,2016-01-21,12
WAV102,01-4422,2016-02-03,2016-02-02,1
WAV102,01-4422,2016-02-22,2016-02-03,19
WAV102,01-4422,2016-02-29,2016-02-22,7
WAV102,01-4422,2016-03-15,2016-02-29,15
WAV102,01-4422,2016-03-22,2016-03-15,7
WAV102,01-4422,2016-03-29,2016-03-22,7
WAV102,01-4422,2016-03-30,2016-03-29,1
WAV102,01-4422,2016-04-13,2016-03-30,14
WAV102,01-4422,2016-09-08,2016-04-13,148
WAV102,01-4422,2016-09-12,2016-09-08,4
WAV102,01-4422,2016-09-22,2016-09-12,10
WAV102,01-4422,2016-10-03,2016-09-22,11
WAV102,01-4422,2016-10-05,2016-10-03,2
WAV102,01-4422,2016-10-20,2016-10-05,15
WAV102,01-4422,2016-10-24,2016-10-20,4
WAV102,01-4422,2016-10-26,2016-10-24,2
WAV102,01-4422,2016-11-02,2016-10-26,7
WAV102,01-4422,2016-11-04,2016-11-02,2
WAV102,01-4422,2016-11-10,2016-11-04,6
WAV102,01-4422,2016-11-16,2016-11-10,6
WAV102,01-4422,2016-11-21,2016-11-16,5
WAV102,01-4422,2016-11-25,2016-11-21,4
WAV102,01-4422,2016-12-07,2016-11-25,12
WAV102,01-4422,2016-12-20,2016-12-07,13
WAV102,01-4422,2017-01-06,2016-12-20,17
WAV102,01-4422,2017-01-12,2017-01-06,6
WAV102,01-4422,2017-01-17,2017-01-12,5
WAV102,01-4422,2017-01-20,2017-01-17,3
WAV102,01-4422,2017-02-01,2017-01-20,12
WAV102,01-4422,2017-02-03,2017-02-01,2
WAV102,01-4422,2017-02-22,2017-02-03,19
WAV102,01-4422,2017-02-27,2017-02-22,5
WAV102,01-4422,2017-03-15,2017-02-27,16
WAV102,01-4422,2017-03-24,2017-03-15,9
WAV102,01-4422,2017-04-05,2017-03-24,12
WAV102,01-4422,2017-04-07,2017-04-05,2
WAV102,01-4422,2017-04-24,2017-04-07,17
WAV102,01-4422,2017-04-26,2017-04-24,2
WAV102,01-4422,2017-04-27,2017-04-26,1
WAV102,01-4422,2017-06-14,2017-04-27,48
WAV102,01-4422,2017-07-14,2017-06-14,30
WAV102,01-4422,2017-07-18,2017-07-14,4
WAV102,01-4422,2017-07-31,2017-07-18,13
WAV102,01-4422,2017-08-01,2017-07-31,1
WAV102,01-4422,2017-08-02,2017-08-01,1
WAV102,01-4422,2017-09-01,2017-08-02,30
WAV102,01-4422,2017-09-06,2017-09-01,5
WAV102,01-4422,2017-09-11,2017-09-06,5
WAV102,01-4422,2017-10-02,2017-09-11,21
WAV102,01-4422,2017-10-10,2017-10-02,8
WAV102,01-4422,2017-10-18,2017-10-10,8
WAV102,01-4422,2017-11-08,2017-10-18,21
