CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DEL141,B2-4413,2015-05-26,2015-05-15,11
DEL141,B2-4413,2015-06-01,2015-05-26,6
DEL141,B2-4413,2015-06-15,2015-06-01,14
DEL141,B2-4413,2015-07-07,2015-06-15,22
DEL141,B2-4413,2015-07-16,2015-07-07,9
DEL141,B2-4413,2015-07-17,2015-07-16,1
DEL141,B2-4413,2015-10-29,2015-07-17,104
DEL141,B2-4413,2015-11-25,2015-10-29,27
DEL141,B2-4413,2015-12-03,2015-11-25,8
DEL141,B2-4413,2015-12-14,2015-12-03,11
DEL141,B2-4413,2015-12-30,2015-12-14,16
DEL141,B2-4413,2016-01-05,2015-12-30,6
DEL141,B2-4413,2016-01-06,2016-01-05,1
DEL141,B2-4413,2016-01-11,2016-01-06,5
DEL141,B2-4413,2016-01-20,2016-01-11,9
DEL141,B2-4413,2016-01-22,2016-01-20,2
DEL141,B2-4413,2016-03-08,2016-01-22,46
DEL141,B2-4413,2016-03-21,2016-03-08,13
DEL141,B2-4413,2016-03-28,2016-03-21,7
DEL141,B2-4413,2016-03-29,2016-03-28,1
DEL141,B2-4413,2016-03-31,2016-03-29,2
DEL141,B2-4413,2016-04-04,2016-03-31,4
DEL141,B2-4413,2016-04-07,2016-04-04,3
DEL141,B2-4413,2016-04-13,2016-04-07,6
DEL141,B2-4413,2016-04-14,2016-04-13,1
DEL141,B2-4413,2016-04-20,2016-04-14,6
DEL141,B2-4413,2016-04-21,2016-04-20,1
DEL141,B2-4413,2016-04-27,2016-04-21,6
DEL141,B2-4413,2016-05-03,2016-04-27,6
DEL141,B2-4413,2016-05-05,2016-05-03,2
DEL141,B2-4413,2016-05-10,2016-05-05,5
DEL141,B2-4413,2016-05-11,2016-05-10,1
DEL141,B2-4413,2016-05-12,2016-05-11,1
DEL141,B2-4413,2016-05-20,2016-05-12,8
DEL141,B2-4413,2016-05-23,2016-05-20,3
DEL141,B2-4413,2016-05-25,2016-05-23,2
DEL141,B2-4413,2016-06-01,2016-05-25,7
DEL141,B2-4413,2016-06-13,2016-06-01,12
DEL141,B2-4413,2016-06-14,2016-06-13,1
DEL141,B2-4413,2016-06-17,2016-06-14,3
DEL141,B2-4413,2016-06-20,2016-06-17,3
DEL141,B2-4413,2016-07-05,2016-06-20,15
DEL141,B2-4413,2016-07-06,2016-07-05,1
DEL141,B2-4413,2016-07-18,2016-07-06,12
DEL141,B2-4413,2016-07-22,2016-07-18,4
DEL141,B2-4413,2016-07-25,2016-07-22,3
DEL141,B2-4413,2016-07-27,2016-07-25,2
DEL141,B2-4413,2016-07-28,2016-07-27,1
DEL141,B2-4413,2016-08-15,2016-07-28,18
DEL141,B2-4413,2016-08-16,2016-08-15,1
DEL141,B2-4413,2016-08-24,2016-08-16,8
DEL141,B2-4413,2016-08-25,2016-08-24,1
DEL141,B2-4413,2016-08-30,2016-08-25,5
DEL141,B2-4413,2016-09-01,2016-08-30,2
DEL141,B2-4413,2016-09-12,2016-09-01,11
DEL141,B2-4413,2016-09-13,2016-09-12,1
DEL141,B2-4413,2016-09-20,2016-09-13,7
DEL141,B2-4413,2016-10-10,2016-09-20,20
DEL141,B2-4413,2016-10-11,2016-10-10,1
DEL141,B2-4413,2016-10-12,2016-10-11,1
DEL141,B2-4413,2016-10-13,2016-10-12,1
DEL141,B2-4413,2016-11-01,2016-10-13,19
DEL141,B2-4413,2016-11-02,2016-11-01,1
DEL141,B2-4413,2016-11-03,2016-11-02,1
DEL141,B2-4413,2016-11-09,2016-11-03,6
DEL141,B2-4413,2016-11-16,2016-11-09,7
DEL141,B2-4413,2016-11-21,2016-11-16,5
DEL141,B2-4413,2016-12-06,2016-11-21,15
DEL141,B2-4413,2016-12-21,2016-12-06,15
DEL141,B2-4413,2017-01-09,2016-12-21,19
DEL141,B2-4413,2017-01-12,2017-01-09,3
DEL141,B2-4413,2017-01-25,2017-01-12,13
DEL141,B2-4413,2017-01-26,2017-01-25,1
DEL141,B2-4413,2017-01-30,2017-01-26,4
DEL141,B2-4413,2017-02-01,2017-01-30,2
DEL141,B2-4413,2017-02-13,2017-02-01,12
DEL141,B2-4413,2017-02-16,2017-02-13,3
DEL141,B2-4413,2017-02-20,2017-02-16,4
DEL141,B2-4413,2017-03-01,2017-02-20,9
DEL141,B2-4413,2017-03-22,2017-03-01,21
DEL141,B2-4413,2017-04-04,2017-03-22,13
DEL141,B2-4413,2017-04-05,2017-04-04,1
DEL141,B2-4413,2017-04-18,2017-04-05,13
DEL141,B2-4413,2017-04-19,2017-04-18,1
DEL141,B2-4413,2017-05-11,2017-04-19,22
DEL141,B2-4413,2017-06-15,2017-05-11,35
DEL141,B2-4413,2017-07-05,2017-06-15,20
DEL141,B2-4413,2017-07-14,2017-07-05,9
DEL141,B2-4413,2017-07-21,2017-07-14,7
DEL141,B2-4413,2017-07-25,2017-07-21,4
DEL141,B2-4413,2017-08-02,2017-07-25,8
DEL141,B2-4413,2017-08-03,2017-08-02,1
DEL141,B2-4413,2017-08-30,2017-08-03,27
DEL141,B2-4413,2017-09-05,2017-08-30,6
DEL141,B2-4413,2017-09-19,2017-09-05,14
DEL141,B2-4413,2017-09-27,2017-09-19,8
DEL141,B2-4413,2017-09-29,2017-09-27,2
DEL141,B2-4413,2017-10-18,2017-09-29,19
DEL141,B2-4413,2017-11-14,2017-10-18,27
DEL141,B2-4413,2017-11-16,2017-11-14,2
DEL141,B2-4413,2017-11-21,2017-11-16,5
DEL141,B2-4413,2017-12-01,2017-11-21,10
DEL141,B2-4413,2017-12-04,2017-12-01,3
