CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AME154,02-0421,2015-12-15,2015-12-08,7
AME154,02-0421,2015-12-30,2015-12-15,15
AME154,02-0421,2016-06-27,2015-12-30,180
AME154,02-0421,2016-07-22,2016-06-27,25
AME154,02-0421,2016-08-01,2016-07-22,10
AME154,02-0421,2016-09-06,2016-08-01,36
AME154,02-0421,2016-10-25,2016-09-06,49
AME154,02-0421,2016-12-05,2016-10-25,41
AME154,02-0421,2017-03-15,2016-12-05,100
AME154,02-0421,2017-04-04,2017-03-15,20
AME154,02-0421,2017-04-06,2017-04-04,2
AME154,02-0421,2017-04-10,2017-04-06,4
AME154,02-0421,2017-04-12,2017-04-10,2
