CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ANG114,06-2663,2015-05-29,2015-05-05,24
ANG114,06-2663,2015-07-07,2015-05-29,39
ANG114,06-2663,2015-07-28,2015-07-07,21
ANG114,06-2663,2015-08-14,2015-07-28,17
ANG114,06-2663,2015-09-09,2015-08-14,26
ANG114,06-2663,2015-09-15,2015-09-09,6
ANG114,06-2663,2015-09-29,2015-09-15,14
ANG114,06-2663,2015-10-22,2015-09-29,23
ANG114,06-2663,2016-01-21,2015-10-22,91
ANG114,06-2663,2016-01-27,2016-01-21,6
ANG114,06-2663,2016-02-09,2016-01-27,13
ANG114,06-2663,2016-02-17,2016-02-09,8
ANG114,06-2663,2016-02-25,2016-02-17,8
ANG114,06-2663,2016-03-03,2016-02-25,7
