CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEA124,02-1385,2017-05-22,2017-05-01,21
BEA124,02-1385,2017-05-31,2017-05-22,9
BEA124,02-1385,2017-06-12,2017-05-31,12
BEA124,02-1385,2017-07-05,2017-06-12,23
BEA124,02-1385,2017-07-12,2017-07-05,7
BEA124,02-1385,2017-07-25,2017-07-12,13
BEA124,02-1385,2017-08-07,2017-07-25,13
BEA124,02-1385,2017-09-20,2017-08-07,44
BEA124,02-1385,2017-10-04,2017-09-20,14
BEA124,02-1385,2017-10-26,2017-10-04,22
BEA124,02-1385,2017-11-27,2017-10-26,32
BEA124,02-1385,2017-12-05,2017-11-27,8
