CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEM101,02-7427,2016-11-30,2016-05-31,183
BEM101,02-7427,2016-12-06,2016-11-30,6
BEM101,02-7427,2016-12-27,2016-12-06,21
BEM101,02-7427,2016-12-28,2016-12-27,1
BEM101,02-7427,2017-07-17,2016-12-28,201
BEM101,02-7427,2017-07-20,2017-07-17,3
BEM101,02-7427,2017-08-07,2017-07-20,18
BEM101,02-7427,2017-08-08,2017-08-07,1
BEM101,02-7427,2017-08-10,2017-08-08,2
BEM101,02-7427,2017-08-14,2017-08-10,4
BEM101,02-7427,2017-08-18,2017-08-14,4
BEM101,02-7427,2017-08-21,2017-08-18,3
BEM101,02-7427,2017-08-31,2017-08-21,10
BEM101,02-7427,2017-09-05,2017-08-31,5
BEM101,02-7427,2017-09-07,2017-09-05,2
BEM101,02-7427,2017-09-08,2017-09-07,1
BEM101,02-7427,2017-09-11,2017-09-08,3
BEM101,02-7427,2017-09-15,2017-09-11,4
BEM101,02-7427,2017-09-20,2017-09-15,5
BEM101,02-7427,2017-09-27,2017-09-20,7
BEM101,02-7427,2017-10-02,2017-09-27,5
BEM101,02-7427,2017-10-10,2017-10-02,8
BEM101,02-7427,2017-10-13,2017-10-10,3
BEM101,02-7427,2017-10-17,2017-10-13,4
BEM101,02-7427,2017-10-24,2017-10-17,7
BEM101,02-7427,2017-11-16,2017-10-24,23
BEM101,02-7427,2017-11-17,2017-11-16,1
