CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BRA147,02-2644,2015-10-09,2015-08-28,42
BRA147,02-2644,2015-10-20,2015-10-09,11
BRA147,02-2644,2015-10-28,2015-10-20,8
BRA147,02-2644,2015-11-09,2015-10-28,12
BRA147,02-2644,2015-11-13,2015-11-09,4
BRA147,02-2644,2015-11-19,2015-11-13,6
BRA147,02-2644,2015-12-16,2015-11-19,27
BRA147,02-2644,2016-02-04,2015-12-16,50
BRA147,02-2644,2016-03-28,2016-02-04,53
BRA147,02-2644,2016-07-16,2016-03-28,110
BRA147,02-2644,2016-08-09,2016-07-16,24
BRA147,02-2644,2016-11-28,2016-08-09,111
BRA147,02-2644,2016-12-09,2016-11-28,11
