CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BUF104,02-2633,2017-01-19,2017-01-13,6
BUF104,02-2633,2017-01-23,2017-01-19,4
BUF104,02-2633,2017-02-22,2017-01-23,30
BUF104,02-2633,2017-03-06,2017-02-22,12
BUF104,02-2633,2017-04-07,2017-03-06,32
BUF104,02-2633,2017-04-11,2017-04-07,4
BUF104,02-2633,2017-04-21,2017-04-11,10
BUF104,02-2633,2017-04-24,2017-04-21,3
BUF104,02-2633,2017-05-16,2017-04-24,22
BUF104,02-2633,2017-07-06,2017-05-16,51
BUF104,02-2633,2017-07-18,2017-07-06,12
BUF104,02-2633,2017-07-26,2017-07-18,8
BUF104,02-2633,2017-07-31,2017-07-26,5
BUF104,02-2633,2017-11-24,2017-07-31,116
BUF104,02-2633,2017-12-04,2017-11-24,10
