CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CAM138,02-7363,2016-09-28,2016-08-29,30
CAM138,02-7363,2016-10-24,2016-09-28,26
CAM138,02-7363,2016-11-11,2016-10-24,18
CAM138,02-7363,2016-11-21,2016-11-11,10
CAM138,02-7363,2016-12-12,2016-11-21,21
CAM138,02-7363,2017-01-11,2016-12-12,30
CAM138,02-7363,2017-01-20,2017-01-11,9
CAM138,02-7363,2017-02-28,2017-01-20,39
CAM138,02-7363,2017-03-01,2017-02-28,1
CAM138,02-7363,2017-03-27,2017-03-01,26
CAM138,02-7363,2017-04-05,2017-03-27,9
CAM138,02-7363,2017-04-25,2017-04-05,20
CAM138,02-7363,2017-05-24,2017-04-25,29
CAM138,02-7363,2017-06-12,2017-05-24,19
CAM138,02-7363,2017-06-21,2017-06-12,9
CAM138,02-7363,2017-07-18,2017-06-21,27
CAM138,02-7363,2017-07-19,2017-07-18,1
CAM138,02-7363,2017-09-08,2017-07-19,51
