CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CAP123,02-2122,2015-10-13,2015-10-09,4
CAP123,02-2122,2015-12-28,2015-10-13,76
CAP123,02-2122,2017-02-08,2015-12-28,408
CAP123,02-2122,2017-02-24,2017-02-08,16
CAP123,02-2122,2017-04-07,2017-02-24,42
CAP123,02-2122,2017-04-19,2017-04-07,12
CAP123,02-2122,2017-05-15,2017-04-19,26
CAP123,02-2122,2017-05-16,2017-05-15,1
CAP123,02-2122,2017-08-02,2017-05-16,78
CAP123,02-2122,2017-08-03,2017-08-02,1
CAP123,02-2122,2017-11-08,2017-08-03,97
CAP123,02-2122,2017-11-24,2017-11-08,16
