CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CEC101,02-5250,2015-08-13,2015-07-23,21
CEC101,02-5250,2015-09-03,2015-08-13,21
CEC101,02-5250,2015-10-01,2015-09-03,28
CEC101,02-5250,2015-10-22,2015-10-01,21
CEC101,02-5250,2015-10-29,2015-10-22,7
CEC101,02-5250,2015-11-12,2015-10-29,14
CEC101,02-5250,2015-11-19,2015-11-12,7
CEC101,02-5250,2015-12-03,2015-11-19,14
CEC101,02-5250,2015-12-10,2015-12-03,7
CEC101,02-5250,2016-01-14,2015-12-10,35
CEC101,02-5250,2016-01-28,2016-01-14,14
CEC101,02-5250,2016-01-29,2016-01-28,1
CEC101,02-5250,2016-02-11,2016-01-29,13
CEC101,02-5250,2016-02-18,2016-02-11,7
CEC101,02-5250,2016-02-25,2016-02-18,7
CEC101,02-5250,2016-03-10,2016-02-25,14
CEC101,02-5250,2016-03-17,2016-03-10,7
CEC101,02-5250,2016-04-21,2016-03-17,35
CEC101,02-5250,2016-05-05,2016-04-21,14
CEC101,02-5250,2016-05-18,2016-05-05,13
CEC101,02-5250,2016-06-02,2016-05-18,15
CEC101,02-5250,2016-06-16,2016-06-02,14
CEC101,02-5250,2016-06-24,2016-06-16,8
CEC101,02-5250,2016-07-14,2016-06-24,20
CEC101,02-5250,2016-07-21,2016-07-14,7
CEC101,02-5250,2016-08-18,2016-07-21,28
CEC101,02-5250,2016-09-01,2016-08-18,14
CEC101,02-5250,2016-09-08,2016-09-01,7
CEC101,02-5250,2016-09-15,2016-09-08,7
CEC101,02-5250,2016-11-23,2016-09-15,69
CEC101,02-5250,2017-02-16,2016-11-23,85
CEC101,02-5250,2017-03-16,2017-02-16,28
CEC101,02-5250,2017-03-23,2017-03-16,7
CEC101,02-5250,2017-09-07,2017-03-23,168
