CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CPP110,02-0552,2015-11-04,2015-07-29,98
CPP110,02-0552,2015-11-30,2015-11-04,26
CPP110,02-0552,2016-02-12,2015-11-30,74
CPP110,02-0552,2016-08-01,2016-02-12,171
CPP110,02-0552,2016-08-04,2016-08-01,3
CPP110,02-0552,2016-08-29,2016-08-04,25
CPP110,02-0552,2016-10-24,2016-08-29,56
CPP110,02-0552,2016-10-27,2016-10-24,3
CPP110,02-0552,2016-12-01,2016-10-27,35
CPP110,02-0552,2016-12-12,2016-12-01,11
CPP110,02-0552,2017-01-13,2016-12-12,32
CPP110,02-0552,2017-02-15,2017-01-13,33
