CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CRA130,02-4595,2016-03-23,2016-03-02,21
CRA130,02-4595,2016-04-06,2016-03-23,14
CRA130,02-4595,2016-05-04,2016-04-06,28
CRA130,02-4595,2016-06-06,2016-05-04,33
CRA130,02-4595,2016-06-27,2016-06-06,21
CRA130,02-4595,2016-07-13,2016-06-27,16
CRA130,02-4595,2016-08-16,2016-07-13,34
CRA130,02-4595,2016-08-26,2016-08-16,10
CRA130,02-4595,2016-09-16,2016-08-26,21
CRA130,02-4595,2016-10-26,2016-09-16,40
CRA130,02-4595,2016-11-15,2016-10-26,20
CRA130,02-4595,2016-12-05,2016-11-15,20
CRA130,02-4595,2016-12-19,2016-12-05,14
CRA130,02-4595,2017-01-23,2016-12-19,35
CRA130,02-4595,2017-02-06,2017-01-23,14
CRA130,02-4595,2017-02-21,2017-02-06,15
CRA130,02-4595,2017-03-22,2017-02-21,29
CRA130,02-4595,2017-04-13,2017-03-22,22
CRA130,02-4595,2017-04-14,2017-04-13,1
CRA130,02-4595,2017-04-26,2017-04-14,12
CRA130,02-4595,2017-05-24,2017-04-26,28
CRA130,02-4595,2017-06-20,2017-05-24,27
CRA130,02-4595,2017-06-23,2017-06-20,3
CRA130,02-4595,2017-07-17,2017-06-23,24
CRA130,02-4595,2017-07-26,2017-07-17,9
CRA130,02-4595,2017-08-07,2017-07-26,12
CRA130,02-4595,2017-09-01,2017-08-07,25
CRA130,02-4595,2017-09-13,2017-09-01,12
CRA130,02-4595,2017-10-24,2017-09-13,41
CRA130,02-4595,2017-10-30,2017-10-24,6
CRA130,02-4595,2017-11-13,2017-10-30,14
CRA130,02-4595,2017-12-04,2017-11-13,21
