CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DCP100,02-6833,2015-05-21,2015-05-13,8
DCP100,02-6833,2015-08-06,2015-05-21,77
DCP100,02-6833,2015-08-28,2015-08-06,22
DCP100,02-6833,2015-09-16,2015-08-28,19
DCP100,02-6833,2015-10-15,2015-09-16,29
DCP100,02-6833,2015-11-13,2015-10-15,29
DCP100,02-6833,2015-12-15,2015-11-13,32
DCP100,02-6833,2016-01-19,2015-12-15,35
DCP100,02-6833,2016-02-08,2016-01-19,20
DCP100,02-6833,2016-03-03,2016-02-08,24
DCP100,02-6833,2016-03-16,2016-03-03,13
DCP100,02-6833,2016-04-04,2016-03-16,19
DCP100,02-6833,2016-05-05,2016-04-04,31
DCP100,02-6833,2016-06-21,2016-05-05,47
DCP100,02-6833,2016-07-06,2016-06-21,15
DCP100,02-6833,2016-08-12,2016-07-06,37
DCP100,02-6833,2016-11-01,2016-08-12,81
DCP100,02-6833,2016-11-18,2016-11-01,17
DCP100,02-6833,2017-01-03,2016-11-18,46
DCP100,02-6833,2017-03-02,2017-01-03,58
DCP100,02-6833,2017-04-03,2017-03-02,32
DCP100,02-6833,2017-05-01,2017-04-03,28
DCP100,02-6833,2017-06-01,2017-05-01,31
DCP100,02-6833,2017-08-29,2017-06-01,89
DCP100,02-6833,2017-09-22,2017-08-29,24
