CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DEK102,02-1238,2016-04-20,2016-03-04,47
DEK102,02-1238,2016-04-29,2016-04-20,9
DEK102,02-1238,2016-05-02,2016-04-29,3
DEK102,02-1238,2016-05-11,2016-05-02,9
DEK102,02-1238,2016-05-23,2016-05-11,12
DEK102,02-1238,2016-06-01,2016-05-23,9
DEK102,02-1238,2016-06-23,2016-06-01,22
DEK102,02-1238,2016-07-06,2016-06-23,13
DEK102,02-1238,2016-07-21,2016-07-06,15
DEK102,02-1238,2016-08-10,2016-07-21,20
DEK102,02-1238,2016-08-23,2016-08-10,13
DEK102,02-1238,2016-09-12,2016-08-23,20
DEK102,02-1238,2016-09-30,2016-09-12,18
DEK102,02-1238,2016-10-07,2016-09-30,7
DEK102,02-1238,2016-10-17,2016-10-07,10
DEK102,02-1238,2016-11-29,2016-10-17,43
DEK102,02-1238,2016-12-29,2016-11-29,30
DEK102,02-1238,2017-01-13,2016-12-29,15
DEK102,02-1238,2017-01-26,2017-01-13,13
DEK102,02-1238,2017-02-17,2017-01-26,22
DEK102,02-1238,2017-03-01,2017-02-17,12
DEK102,02-1238,2017-03-15,2017-03-01,14
DEK102,02-1238,2017-03-30,2017-03-15,15
DEK102,02-1238,2017-04-05,2017-03-30,6
DEK102,02-1238,2017-04-21,2017-04-05,16
