CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DIA202,02-2365,2016-08-09,2016-08-05,4
DIA202,02-2365,2016-09-19,2016-08-09,41
DIA202,02-2365,2016-09-20,2016-09-19,1
DIA202,02-2365,2016-10-10,2016-09-20,20
DIA202,02-2365,2016-10-26,2016-10-10,16
DIA202,02-2365,2016-11-23,2016-10-26,28
DIA202,02-2365,2016-12-15,2016-11-23,22
DIA202,02-2365,2017-01-03,2016-12-15,19
DIA202,02-2365,2017-01-09,2017-01-03,6
DIA202,02-2365,2017-01-25,2017-01-09,16
DIA202,02-2365,2017-02-01,2017-01-25,7
DIA202,02-2365,2017-02-27,2017-02-01,26
DIA202,02-2365,2017-03-10,2017-02-27,11
DIA202,02-2365,2017-03-22,2017-03-10,12
DIA202,02-2365,2017-04-06,2017-03-22,15
DIA202,02-2365,2017-05-01,2017-04-06,25
DIA202,02-2365,2017-05-24,2017-05-01,23
DIA202,02-2365,2017-06-09,2017-05-24,16
DIA202,02-2365,2017-07-03,2017-06-09,24
DIA202,02-2365,2017-07-21,2017-07-03,18
DIA202,02-2365,2017-08-10,2017-07-21,20
DIA202,02-2365,2017-08-18,2017-08-10,8
DIA202,02-2365,2017-09-07,2017-08-18,20
DIA202,02-2365,2017-10-19,2017-09-07,42
DIA202,02-2365,2017-10-31,2017-10-19,12
DIA202,02-2365,2017-11-08,2017-10-31,8
DIA202,02-2365,2017-12-05,2017-11-08,27
