CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DIX103,02-3520,2016-02-01,2016-01-25,7
DIX103,02-3520,2016-02-08,2016-02-01,7
DIX103,02-3520,2016-02-26,2016-02-08,18
DIX103,02-3520,2016-03-16,2016-02-26,19
DIX103,02-3520,2016-04-04,2016-03-16,19
DIX103,02-3520,2016-04-18,2016-04-04,14
DIX103,02-3520,2016-05-18,2016-04-18,30
DIX103,02-3520,2016-05-26,2016-05-18,8
DIX103,02-3520,2016-06-27,2016-05-26,32
DIX103,02-3520,2016-07-15,2016-06-27,18
DIX103,02-3520,2016-08-05,2016-07-15,21
DIX103,02-3520,2016-08-16,2016-08-05,11
DIX103,02-3520,2016-08-23,2016-08-16,7
DIX103,02-3520,2016-09-01,2016-08-23,9
DIX103,02-3520,2016-10-10,2016-09-01,39
