CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DON137,02-7347,2016-03-18,2015-10-27,143
DON137,02-7347,2016-06-17,2016-03-18,91
DON137,02-7347,2016-07-20,2016-06-17,33
DON137,02-7347,2016-07-27,2016-07-20,7
DON137,02-7347,2016-08-02,2016-07-27,6
DON137,02-7347,2016-08-10,2016-08-02,8
DON137,02-7347,2016-08-15,2016-08-10,5
DON137,02-7347,2016-08-24,2016-08-15,9
DON137,02-7347,2016-09-07,2016-08-24,14
DON137,02-7347,2016-09-29,2016-09-07,22
DON137,02-7347,2016-11-02,2016-09-29,34
DON137,02-7347,2016-12-21,2016-11-02,49
