CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
DON137,SPC1199,2015-09-25,2015-09-15,10
DON137,SPC1199,2015-09-29,2015-09-25,4
DON137,SPC1199,2015-10-01,2015-09-29,2
DON137,SPC1199,2015-10-05,2015-10-01,4
DON137,SPC1199,2015-10-09,2015-10-05,4
DON137,SPC1199,2015-10-13,2015-10-09,4
DON137,SPC1199,2015-10-21,2015-10-13,8
DON137,SPC1199,2015-10-26,2015-10-21,5
DON137,SPC1199,2015-11-02,2015-10-26,7
DON137,SPC1199,2015-11-04,2015-11-02,2
DON137,SPC1199,2015-11-07,2015-11-04,3
DON137,SPC1199,2015-11-11,2015-11-07,4
DON137,SPC1199,2015-11-23,2015-11-11,12
DON137,SPC1199,2015-11-24,2015-11-23,1
DON137,SPC1199,2015-12-02,2015-11-24,8
DON137,SPC1199,2015-12-07,2015-12-02,5
DON137,SPC1199,2015-12-14,2015-12-07,7
