CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
EAS176,02-4976,2016-07-05,2015-05-05,427
EAS176,02-4976,2016-07-06,2016-07-05,1
EAS176,02-4976,2016-08-03,2016-07-06,28
EAS176,02-4976,2016-11-01,2016-08-03,90
EAS176,02-4976,2016-11-03,2016-11-01,2
EAS176,02-4976,2017-02-03,2016-11-03,92
EAS176,02-4976,2017-07-17,2017-02-03,164
EAS176,02-4976,2017-07-26,2017-07-17,9
EAS176,02-4976,2017-08-03,2017-07-26,8
EAS176,02-4976,2017-10-05,2017-08-03,63
EAS176,02-4976,2017-10-30,2017-10-05,25
EAS176,02-4976,2017-11-27,2017-10-30,28
