CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
EXC103,02-0774,2016-11-22,2016-10-17,36
EXC103,02-0774,2016-12-05,2016-11-22,13
EXC103,02-0774,2017-01-03,2016-12-05,29
EXC103,02-0774,2017-02-10,2017-01-03,38
EXC103,02-0774,2017-04-25,2017-02-10,74
EXC103,02-0774,2017-06-01,2017-04-25,37
EXC103,02-0774,2017-08-02,2017-06-01,62
EXC103,02-0774,2017-08-15,2017-08-02,13
EXC103,02-0774,2017-09-22,2017-08-15,38
EXC103,02-0774,2017-10-26,2017-09-22,34
EXC103,02-0774,2017-11-06,2017-10-26,11
EXC103,02-0774,2017-12-05,2017-11-06,29
