CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
EXP114,SPC1053,2016-07-29,2016-07-25,4
EXP114,SPC1053,2016-08-01,2016-07-29,3
EXP114,SPC1053,2016-08-02,2016-08-01,1
EXP114,SPC1053,2016-08-09,2016-08-02,7
EXP114,SPC1053,2016-08-11,2016-08-09,2
EXP114,SPC1053,2016-08-12,2016-08-11,1
EXP114,SPC1053,2016-08-15,2016-08-12,3
EXP114,SPC1053,2016-08-16,2016-08-15,1
EXP114,SPC1053,2016-08-22,2016-08-16,6
EXP114,SPC1053,2016-08-24,2016-08-22,2
EXP114,SPC1053,2016-08-26,2016-08-24,2
EXP114,SPC1053,2016-08-30,2016-08-26,4
EXP114,SPC1053,2016-09-01,2016-08-30,2
EXP114,SPC1053,2016-09-02,2016-09-01,1
EXP114,SPC1053,2016-09-06,2016-09-02,4
EXP114,SPC1053,2016-09-08,2016-09-06,2
EXP114,SPC1053,2016-09-12,2016-09-08,4
EXP114,SPC1053,2016-09-14,2016-09-12,2
EXP114,SPC1053,2016-09-19,2016-09-14,5
EXP114,SPC1053,2016-09-20,2016-09-19,1
EXP114,SPC1053,2016-09-28,2016-09-20,8
EXP114,SPC1053,2016-10-03,2016-09-28,5
EXP114,SPC1053,2016-10-10,2016-10-03,7
EXP114,SPC1053,2016-10-11,2016-10-10,1
EXP114,SPC1053,2016-10-20,2016-10-11,9
EXP114,SPC1053,2016-10-21,2016-10-20,1
EXP114,SPC1053,2016-10-25,2016-10-21,4
EXP114,SPC1053,2016-10-27,2016-10-25,2
EXP114,SPC1053,2016-10-28,2016-10-27,1
EXP114,SPC1053,2016-10-31,2016-10-28,3
EXP114,SPC1053,2016-11-01,2016-10-31,1
EXP114,SPC1053,2016-11-02,2016-11-01,1
EXP114,SPC1053,2016-11-07,2016-11-02,5
EXP114,SPC1053,2016-11-15,2016-11-07,8
EXP114,SPC1053,2016-11-17,2016-11-15,2
EXP114,SPC1053,2016-11-18,2016-11-17,1
EXP114,SPC1053,2016-11-22,2016-11-18,4
EXP114,SPC1053,2016-11-23,2016-11-22,1
EXP114,SPC1053,2016-11-28,2016-11-23,5
EXP114,SPC1053,2016-11-29,2016-11-28,1
