CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FAL118,02-7373,2015-05-08,2015-05-07,1
FAL118,02-7373,2015-05-29,2015-05-08,21
FAL118,02-7373,2015-07-17,2015-05-29,49
FAL118,02-7373,2015-08-25,2015-07-17,39
FAL118,02-7373,2015-08-26,2015-08-25,1
FAL118,02-7373,2015-09-04,2015-08-26,9
FAL118,02-7373,2015-09-18,2015-09-04,14
FAL118,02-7373,2015-09-19,2015-09-18,1
FAL118,02-7373,2015-10-24,2015-09-19,35
FAL118,02-7373,2015-12-08,2015-10-24,45
FAL118,02-7373,2015-12-12,2015-12-08,4
FAL118,02-7373,2016-01-06,2015-12-12,25
FAL118,02-7373,2016-01-07,2016-01-06,1
FAL118,02-7373,2016-01-09,2016-01-07,2
FAL118,02-7373,2016-02-02,2016-01-09,24
FAL118,02-7373,2016-02-06,2016-02-02,4
FAL118,02-7373,2016-02-27,2016-02-06,21
FAL118,02-7373,2016-03-12,2016-02-27,14
FAL118,02-7373,2016-04-16,2016-03-12,35
FAL118,02-7373,2016-06-04,2016-04-16,49
FAL118,02-7373,2016-06-08,2016-06-04,4
FAL118,02-7373,2016-06-25,2016-06-08,17
FAL118,02-7373,2016-07-23,2016-06-25,28
FAL118,02-7373,2016-09-10,2016-07-23,49
FAL118,02-7373,2016-10-14,2016-09-10,34
FAL118,02-7373,2016-11-12,2016-10-14,29
FAL118,02-7373,2016-11-19,2016-11-12,7
FAL118,02-7373,2016-12-02,2016-11-19,13
FAL118,02-7373,2016-12-28,2016-12-02,26
FAL118,02-7373,2017-01-28,2016-12-28,31
FAL118,02-7373,2017-02-25,2017-01-28,28
FAL118,02-7373,2017-03-18,2017-02-25,21
FAL118,02-7373,2017-04-01,2017-03-18,14
FAL118,02-7373,2017-04-22,2017-04-01,21
FAL118,02-7373,2017-05-10,2017-04-22,18
FAL118,02-7373,2017-05-26,2017-05-10,16
FAL118,02-7373,2017-06-17,2017-05-26,22
FAL118,02-7373,2017-06-24,2017-06-17,7
FAL118,02-7373,2017-07-14,2017-06-24,20
FAL118,02-7373,2017-12-06,2017-07-14,145
FAL118,02-7373,2017-12-09,2017-12-06,3
FAL118,02-7373,2017-12-11,2017-12-09,2
