CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FAS111,02-7786,2016-10-04,2016-07-12,84
FAS111,02-7786,2016-11-14,2016-10-04,41
FAS111,02-7786,2016-12-27,2016-11-14,43
FAS111,02-7786,2017-02-14,2016-12-27,49
FAS111,02-7786,2017-03-06,2017-02-14,20
FAS111,02-7786,2017-03-28,2017-03-06,22
FAS111,02-7786,2017-05-17,2017-03-28,50
FAS111,02-7786,2017-06-12,2017-05-17,26
FAS111,02-7786,2017-07-03,2017-06-12,21
FAS111,02-7786,2017-07-17,2017-07-03,14
FAS111,02-7786,2017-08-30,2017-07-17,44
FAS111,02-7786,2017-09-11,2017-08-30,12
FAS111,02-7786,2017-10-23,2017-09-11,42
FAS111,02-7786,2017-12-12,2017-10-23,50
