CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FIN111,06-0348,2015-06-15,2015-05-19,27
FIN111,06-0348,2015-06-17,2015-06-15,2
FIN111,06-0348,2015-06-29,2015-06-17,12
FIN111,06-0348,2015-07-22,2015-06-29,23
FIN111,06-0348,2015-08-17,2015-07-22,26
FIN111,06-0348,2015-09-01,2015-08-17,15
FIN111,06-0348,2015-09-10,2015-09-01,9
FIN111,06-0348,2015-09-17,2015-09-10,7
FIN111,06-0348,2015-09-29,2015-09-17,12
FIN111,06-0348,2015-10-05,2015-09-29,6
FIN111,06-0348,2015-10-19,2015-10-05,14
FIN111,06-0348,2015-10-22,2015-10-19,3
FIN111,06-0348,2015-12-04,2015-10-22,43
FIN111,06-0348,2015-12-14,2015-12-04,10
FIN111,06-0348,2016-01-07,2015-12-14,24
FIN111,06-0348,2016-05-13,2016-01-07,127
FIN111,06-0348,2016-05-16,2016-05-13,3
FIN111,06-0348,2016-05-20,2016-05-16,4
FIN111,06-0348,2016-05-27,2016-05-20,7
FIN111,06-0348,2016-05-31,2016-05-27,4
FIN111,06-0348,2016-06-21,2016-05-31,21
FIN111,06-0348,2016-11-18,2016-06-21,150
FIN111,06-0348,2017-05-08,2016-11-18,171
FIN111,06-0348,2017-07-21,2017-05-08,74
