CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FLO130,06-4318,2017-03-22,2017-03-15,7
FLO130,06-4318,2017-04-03,2017-03-22,12
FLO130,06-4318,2017-04-06,2017-04-03,3
FLO130,06-4318,2017-04-20,2017-04-06,14
FLO130,06-4318,2017-05-02,2017-04-20,12
FLO130,06-4318,2017-05-10,2017-05-02,8
FLO130,06-4318,2017-05-17,2017-05-10,7
FLO130,06-4318,2017-06-05,2017-05-17,19
FLO130,06-4318,2017-06-08,2017-06-05,3
FLO130,06-4318,2017-06-27,2017-06-08,19
FLO130,06-4318,2017-07-05,2017-06-27,8
FLO130,06-4318,2017-07-10,2017-07-05,5
FLO130,06-4318,2017-07-12,2017-07-10,2
FLO130,06-4318,2017-07-19,2017-07-12,7
FLO130,06-4318,2017-08-03,2017-07-19,15
FLO130,06-4318,2017-08-10,2017-08-03,7
FLO130,06-4318,2017-08-14,2017-08-10,4
FLO130,06-4318,2017-08-22,2017-08-14,8
FLO130,06-4318,2017-08-31,2017-08-22,9
FLO130,06-4318,2017-09-15,2017-08-31,15
FLO130,06-4318,2017-09-25,2017-09-15,10
FLO130,06-4318,2017-10-21,2017-09-25,26
FLO130,06-4318,2017-11-13,2017-10-21,23
FLO130,06-4318,2017-11-15,2017-11-13,2
FLO130,06-4318,2017-11-30,2017-11-15,15
FLO130,06-4318,2017-12-11,2017-11-30,11
