CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FRI128,09-9832,2015-09-18,2015-08-25,24
FRI128,09-9832,2015-10-02,2015-09-18,14
FRI128,09-9832,2015-10-13,2015-10-02,11
FRI128,09-9832,2015-11-03,2015-10-13,21
FRI128,09-9832,2015-11-11,2015-11-03,8
FRI128,09-9832,2015-11-23,2015-11-11,12
FRI128,09-9832,2015-12-07,2015-11-23,14
FRI128,09-9832,2016-03-01,2015-12-07,85
FRI128,09-9832,2016-03-08,2016-03-01,7
FRI128,09-9832,2016-03-17,2016-03-08,9
FRI128,09-9832,2016-03-29,2016-03-17,12
FRI128,09-9832,2016-04-07,2016-03-29,9
FRI128,09-9832,2016-04-12,2016-04-07,5
FRI128,09-9832,2017-08-10,2016-04-12,485
