CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
FUL117,02-6712,2017-05-18,2017-04-26,22
FUL117,02-6712,2017-05-23,2017-05-18,5
FUL117,02-6712,2017-06-27,2017-05-23,35
FUL117,02-6712,2017-07-03,2017-06-27,6
FUL117,02-6712,2017-07-10,2017-07-03,7
FUL117,02-6712,2017-07-21,2017-07-10,11
FUL117,02-6712,2017-08-07,2017-07-21,17
FUL117,02-6712,2017-08-14,2017-08-07,7
FUL117,02-6712,2017-09-22,2017-08-14,39
FUL117,02-6712,2017-10-04,2017-09-22,12
FUL117,02-6712,2017-11-10,2017-10-04,37
FUL117,02-6712,2017-11-20,2017-11-10,10
FUL117,02-6712,2017-11-21,2017-11-20,1
