CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
G&S100,06-6972,2016-03-29,2016-03-04,25
G&S100,06-6972,2016-04-15,2016-03-29,17
G&S100,06-6972,2016-08-17,2016-04-15,124
G&S100,06-6972,2016-09-06,2016-08-17,20
G&S100,06-6972,2016-11-17,2016-09-06,72
G&S100,06-6972,2016-11-25,2016-11-17,8
G&S100,06-6972,2017-03-10,2016-11-25,105
G&S100,06-6972,2017-09-14,2017-03-10,188
G&S100,06-6972,2017-09-18,2017-09-14,4
G&S100,06-6972,2017-10-16,2017-09-18,28
G&S100,06-6972,2017-11-08,2017-10-16,23
G&S100,06-6972,2017-12-08,2017-11-08,30
G&S100,06-6972,2017-12-12,2017-12-08,4
