CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GEN222,02-7393,2016-12-20,2016-02-18,306
GEN222,02-7393,2017-03-21,2016-12-20,91
GEN222,02-7393,2017-03-31,2017-03-21,10
GEN222,02-7393,2017-04-18,2017-03-31,18
GEN222,02-7393,2017-05-25,2017-04-18,37
GEN222,02-7393,2017-06-01,2017-05-25,7
GEN222,02-7393,2017-06-05,2017-06-01,4
GEN222,02-7393,2017-07-03,2017-06-05,28
GEN222,02-7393,2017-07-05,2017-07-03,2
GEN222,02-7393,2017-07-31,2017-07-05,26
GEN222,02-7393,2017-08-09,2017-07-31,9
GEN222,02-7393,2017-09-07,2017-08-09,29
GEN222,02-7393,2017-09-26,2017-09-07,19
