CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GER115,06-0110,2015-11-02,2015-08-24,70
GER115,06-0110,2015-11-18,2015-11-02,16
GER115,06-0110,2016-01-06,2015-11-18,49
GER115,06-0110,2016-01-27,2016-01-06,21
GER115,06-0110,2016-02-09,2016-01-27,13
GER115,06-0110,2016-04-04,2016-02-09,55
GER115,06-0110,2016-04-11,2016-04-04,7
GER115,06-0110,2016-09-09,2016-04-11,151
GER115,06-0110,2016-09-26,2016-09-09,17
GER115,06-0110,2016-10-06,2016-09-26,10
GER115,06-0110,2016-10-26,2016-10-06,20
GER115,06-0110,2017-01-19,2016-10-26,85
