CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GLO123,02-7665,2016-02-24,2015-12-31,55
GLO123,02-7665,2016-05-17,2016-02-24,83
GLO123,02-7665,2016-06-20,2016-05-17,34
GLO123,02-7665,2016-07-28,2016-06-20,38
GLO123,02-7665,2016-12-05,2016-07-28,130
GLO123,02-7665,2016-12-28,2016-12-05,23
GLO123,02-7665,2017-01-17,2016-12-28,20
GLO123,02-7665,2017-01-20,2017-01-17,3
GLO123,02-7665,2017-02-09,2017-01-20,20
GLO123,02-7665,2017-02-17,2017-02-09,8
GLO123,02-7665,2017-03-28,2017-02-17,39
GLO123,02-7665,2017-04-24,2017-03-28,27
GLO123,02-7665,2017-05-03,2017-04-24,9
GLO123,02-7665,2017-05-26,2017-05-03,23
