CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GOO117,04-0674,2016-03-29,2016-03-01,28
GOO117,04-0674,2016-04-19,2016-03-29,21
GOO117,04-0674,2016-05-31,2016-04-19,42
GOO117,04-0674,2016-06-28,2016-05-31,28
GOO117,04-0674,2016-07-26,2016-06-28,28
GOO117,04-0674,2016-07-28,2016-07-26,2
GOO117,04-0674,2016-08-23,2016-07-28,26
GOO117,04-0674,2016-08-25,2016-08-23,2
GOO117,04-0674,2016-08-30,2016-08-25,5
GOO117,04-0674,2016-09-27,2016-08-30,28
GOO117,04-0674,2016-10-04,2016-09-27,7
GOO117,04-0674,2016-11-08,2016-10-04,35
GOO117,04-0674,2016-11-15,2016-11-08,7
GOO117,04-0674,2016-11-22,2016-11-15,7
