CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GRA192,02-7790,2016-09-06,2016-07-12,56
GRA192,02-7790,2016-10-03,2016-09-06,27
GRA192,02-7790,2016-12-12,2016-10-03,70
GRA192,02-7790,2016-12-22,2016-12-12,10
GRA192,02-7790,2017-01-31,2016-12-22,40
GRA192,02-7790,2017-03-13,2017-01-31,41
GRA192,02-7790,2017-07-18,2017-03-13,127
GRA192,02-7790,2017-08-16,2017-07-18,29
GRA192,02-7790,2017-09-11,2017-08-16,26
GRA192,02-7790,2017-10-04,2017-09-11,23
GRA192,02-7790,2017-11-09,2017-10-04,36
GRA192,02-7790,2017-11-21,2017-11-09,12
