CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GRI104,SPC1095,2015-06-09,2015-05-30,10
GRI104,SPC1095,2015-06-11,2015-06-09,2
GRI104,SPC1095,2015-06-15,2015-06-11,4
GRI104,SPC1095,2015-06-29,2015-06-15,14
GRI104,SPC1095,2015-07-09,2015-06-29,10
GRI104,SPC1095,2015-08-03,2015-07-09,25
GRI104,SPC1095,2015-08-25,2015-08-03,22
GRI104,SPC1095,2015-08-26,2015-08-25,1
GRI104,SPC1095,2015-09-10,2015-08-26,15
GRI104,SPC1095,2015-09-15,2015-09-10,5
GRI104,SPC1095,2015-09-23,2015-09-15,8
GRI104,SPC1095,2015-10-23,2015-09-23,30
GRI104,SPC1095,2015-10-27,2015-10-23,4
GRI104,SPC1095,2015-11-02,2015-10-27,6
