CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GUA119,02-0390,2015-11-30,2015-11-17,13
GUA119,02-0390,2015-12-22,2015-11-30,22
GUA119,02-0390,2016-01-05,2015-12-22,14
GUA119,02-0390,2016-01-12,2016-01-05,7
GUA119,02-0390,2016-01-19,2016-01-12,7
GUA119,02-0390,2016-02-01,2016-01-19,13
GUA119,02-0390,2016-02-15,2016-02-01,14
GUA119,02-0390,2016-02-22,2016-02-15,7
GUA119,02-0390,2016-03-03,2016-02-22,10
GUA119,02-0390,2016-03-28,2016-03-03,25
GUA119,02-0390,2016-04-06,2016-03-28,9
GUA119,02-0390,2016-04-25,2016-04-06,19
GUA119,02-0390,2016-05-09,2016-04-25,14
GUA119,02-0390,2016-06-21,2016-05-09,43
GUA119,02-0390,2016-08-01,2016-06-21,41
GUA119,02-0390,2016-08-17,2016-08-01,16
GUA119,02-0390,2016-11-10,2016-08-17,85
GUA119,02-0390,2016-12-07,2016-11-10,27
GUA119,02-0390,2016-12-08,2016-12-07,1
GUA119,02-0390,2017-01-03,2016-12-08,26
GUA119,02-0390,2017-01-16,2017-01-03,13
GUA119,02-0390,2017-02-28,2017-01-16,43
GUA119,02-0390,2017-03-16,2017-02-28,16
GUA119,02-0390,2017-03-28,2017-03-16,12
GUA119,02-0390,2017-04-03,2017-03-28,6
GUA119,02-0390,2017-04-10,2017-04-03,7
GUA119,02-0390,2017-05-24,2017-04-10,44
GUA119,02-0390,2017-06-06,2017-05-24,13
GUA119,02-0390,2017-06-21,2017-06-06,15
GUA119,02-0390,2017-06-29,2017-06-21,8
GUA119,02-0390,2017-07-18,2017-06-29,19
GUA119,02-0390,2017-07-21,2017-07-18,3
GUA119,02-0390,2017-08-01,2017-07-21,11
GUA119,02-0390,2017-08-03,2017-08-01,2
GUA119,02-0390,2017-08-07,2017-08-03,4
GUA119,02-0390,2017-08-31,2017-08-07,24
GUA119,02-0390,2017-09-20,2017-08-31,20
GUA119,02-0390,2017-10-04,2017-09-20,14
GUA119,02-0390,2017-11-07,2017-10-04,34
GUA119,02-0390,2017-12-12,2017-11-07,35
