CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GUA119,SPC1882,2017-04-17,2017-04-10,7
GUA119,SPC1882,2017-04-19,2017-04-17,2
GUA119,SPC1882,2017-04-24,2017-04-19,5
GUA119,SPC1882,2017-05-01,2017-04-24,7
GUA119,SPC1882,2017-05-15,2017-05-01,14
GUA119,SPC1882,2017-05-19,2017-05-15,4
GUA119,SPC1882,2017-05-25,2017-05-19,6
GUA119,SPC1882,2017-06-12,2017-05-25,18
GUA119,SPC1882,2017-06-13,2017-06-12,1
GUA119,SPC1882,2017-06-20,2017-06-13,7
GUA119,SPC1882,2017-06-26,2017-06-20,6
GUA119,SPC1882,2017-06-30,2017-06-26,4
GUA119,SPC1882,2017-07-06,2017-06-30,6
GUA119,SPC1882,2017-07-17,2017-07-06,11
GUA119,SPC1882,2017-07-18,2017-07-17,1
GUA119,SPC1882,2017-07-19,2017-07-18,1
GUA119,SPC1882,2017-07-26,2017-07-19,7
