CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
H.J100,02-0856,2015-08-19,2015-07-23,27
H.J100,02-0856,2015-11-03,2015-08-19,76
H.J100,02-0856,2015-11-17,2015-11-03,14
H.J100,02-0856,2015-11-24,2015-11-17,7
H.J100,02-0856,2016-01-06,2015-11-24,43
H.J100,02-0856,2016-04-12,2016-01-06,97
H.J100,02-0856,2016-04-25,2016-04-12,13
H.J100,02-0856,2016-05-20,2016-04-25,25
H.J100,02-0856,2016-06-29,2016-05-20,40
H.J100,02-0856,2016-08-10,2016-06-29,42
H.J100,02-0856,2016-09-23,2016-08-10,44
H.J100,02-0856,2017-05-11,2016-09-23,230
H.J100,02-0856,2017-08-31,2017-05-11,112
