CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HAR280,02-2870,2015-09-02,2015-07-06,58
HAR280,02-2870,2015-10-07,2015-09-02,35
HAR280,02-2870,2016-01-06,2015-10-07,91
HAR280,02-2870,2016-01-07,2016-01-06,1
HAR280,02-2870,2016-01-08,2016-01-07,1
HAR280,02-2870,2016-01-22,2016-01-08,14
HAR280,02-2870,2016-02-22,2016-01-22,31
HAR280,02-2870,2016-04-06,2016-02-22,44
HAR280,02-2870,2016-04-25,2016-04-06,19
HAR280,02-2870,2016-05-09,2016-04-25,14
HAR280,02-2870,2016-06-16,2016-05-09,38
HAR280,02-2870,2016-07-05,2016-06-16,19
HAR280,02-2870,2016-07-14,2016-07-05,9
HAR280,02-2870,2016-10-25,2016-07-14,103
HAR280,02-2870,2016-11-12,2016-10-25,18
HAR280,02-2870,2016-12-17,2016-11-12,35
HAR280,02-2870,2017-02-25,2016-12-17,70
HAR280,02-2870,2017-05-01,2017-02-25,65
HAR280,02-2870,2017-05-11,2017-05-01,10
HAR280,02-2870,2017-06-05,2017-05-11,25
HAR280,02-2870,2017-06-29,2017-06-05,24
HAR280,02-2870,2017-07-11,2017-06-29,12
HAR280,02-2870,2017-07-27,2017-07-11,16
