CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HEA282,02-2935,2015-10-23,2015-05-06,170
HEA282,02-2935,2016-01-11,2015-10-23,80
HEA282,02-2935,2016-01-25,2016-01-11,14
HEA282,02-2935,2016-02-26,2016-01-25,32
HEA282,02-2935,2016-04-08,2016-02-26,42
HEA282,02-2935,2016-05-19,2016-04-08,41
HEA282,02-2935,2016-06-14,2016-05-19,26
HEA282,02-2935,2016-08-31,2016-06-14,78
HEA282,02-2935,2016-10-14,2016-08-31,44
HEA282,02-2935,2016-12-19,2016-10-14,66
HEA282,02-2935,2017-01-12,2016-12-19,24
HEA282,02-2935,2017-01-20,2017-01-12,8
HEA282,02-2935,2017-02-22,2017-01-20,33
HEA282,02-2935,2017-03-20,2017-02-22,26
HEA282,02-2935,2017-05-15,2017-03-20,56
HEA282,02-2935,2017-10-03,2017-05-15,141
