CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HEN117,09-9558,2016-03-07,2016-02-18,18
HEN117,09-9558,2016-04-14,2016-03-07,38
HEN117,09-9558,2016-04-21,2016-04-14,7
HEN117,09-9558,2016-05-19,2016-04-21,28
HEN117,09-9558,2016-06-23,2016-05-19,35
HEN117,09-9558,2016-07-15,2016-06-23,22
HEN117,09-9558,2016-07-28,2016-07-15,13
HEN117,09-9558,2016-08-11,2016-07-28,14
HEN117,09-9558,2016-09-01,2016-08-11,21
HEN117,09-9558,2016-09-08,2016-09-01,7
HEN117,09-9558,2016-09-09,2016-09-08,1
HEN117,09-9558,2016-09-14,2016-09-09,5
HEN117,09-9558,2016-09-16,2016-09-14,2
HEN117,09-9558,2016-09-22,2016-09-16,6
HEN117,09-9558,2016-10-18,2016-09-22,26
HEN117,09-9558,2016-11-01,2016-10-18,14
