CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HOM216,01-3756,2016-11-17,2016-11-03,14
HOM216,01-3756,2016-12-05,2016-11-17,18
HOM216,01-3756,2016-12-16,2016-12-05,11
HOM216,01-3756,2016-12-28,2016-12-16,12
HOM216,01-3756,2017-01-04,2016-12-28,7
HOM216,01-3756,2017-05-24,2017-01-04,140
HOM216,01-3756,2017-06-22,2017-05-24,29
HOM216,01-3756,2017-07-05,2017-06-22,13
HOM216,01-3756,2017-07-26,2017-07-05,21
HOM216,01-3756,2017-08-25,2017-07-26,30
HOM216,01-3756,2017-10-11,2017-08-25,47
HOM216,01-3756,2017-11-02,2017-10-11,22
HOM216,01-3756,2017-11-17,2017-11-02,15
