CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HOU108,02-0686,2015-07-15,2015-07-14,1
HOU108,02-0686,2016-10-29,2015-07-15,472
HOU108,02-0686,2016-11-08,2016-10-29,10
HOU108,02-0686,2016-12-20,2016-11-08,42
HOU108,02-0686,2016-12-27,2016-12-20,7
HOU108,02-0686,2017-01-17,2016-12-27,21
HOU108,02-0686,2017-02-10,2017-01-17,24
HOU108,02-0686,2017-03-02,2017-02-10,20
HOU108,02-0686,2017-03-13,2017-03-02,11
HOU108,02-0686,2017-05-02,2017-03-13,50
HOU108,02-0686,2017-05-20,2017-05-02,18
HOU108,02-0686,2017-07-01,2017-05-20,42
HOU108,02-0686,2017-08-02,2017-07-01,32
HOU108,02-0686,2017-08-31,2017-08-02,29
HOU108,02-0686,2017-09-05,2017-08-31,5
HOU108,02-0686,2017-11-28,2017-09-05,84
HOU108,02-0686,2017-11-29,2017-11-28,1
HOU108,02-0686,2017-12-06,2017-11-29,7
